"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Year'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Title'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Role'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Notes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1993'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gino'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Girl'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1997'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'She’s Not Very Beautiful'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jane'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '(Lead) Short Film'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1997'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The One That Got Away'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Maria'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '(Lead) Short Film'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'La Spagnola'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lucia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '(Lead) Best Actress Nomination AFI Awards, FCCC Awards'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2005'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rosebery 7470'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Alison'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '(Lead) Best Actress Award MUFF Awards'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2006'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Meditations on a Name'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Wattle'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '(Lead) Short Film - DOP Bonnie Elliot’s directorial debut'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2007'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sexy, Single, Bilingual'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Zoya'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '(Lead) Short Film'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2008'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Ballad of Betty & Joe'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Betty'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '(Lead) Short Film'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2008'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Ladies Lounge'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Layla'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '(Lead) Short Film won Queer Perspective Award, Sydney Queer Film Festival'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2010'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nude Study'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Alison'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Shock Room'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lana'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Feature Documentary won Best Feature Documentary Antenna Documentary Film Festival'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Video Report'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Susie'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '(Lead)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Deep Storage'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sylvia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '(Lead) Short Film won Audience Award for Best Short Film at Geena Davis’ Bentonville Film Festival'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Beyond the Bubble'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Denise'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Short Film'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Judy and Punch'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Alice'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
