"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Name'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'County'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Acres'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Hectares'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Start date'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Structures'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Deaths'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Notes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mendocino Complex'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mendocino, Lake, Colusa, Glenn'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '459,123'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '185,800.5'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '280'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Ranch Fire by itself, at 410,203 acres (100% contained) as of 19 September 2018, is the largest fire in California history.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Thomas'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ventura, Santa Barbara'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '281,893'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '114,078.0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'December 2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1,063'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '23 (2 Direct, 21 Indirect)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Fatalities attributed to the fire include 1 firefighter and 1 civilian directly, 21 deaths in later mudslides.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Cedar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'San Diego'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '273,246'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '110,578.7'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'October 2003'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2,820'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '15'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rush'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lassen'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '271,911'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '110,038.5'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'August 2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'This fire burned an additional 43,666 acres (17,671.0 ha) in Nevada, for a total of 315,577 acres (127,709.5 ha).'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rim'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tuolumne'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '257,314'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '104,131.3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'August 2013'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '112'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Zaca'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Santa Barbara'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '240,207'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '97,208.3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 2007'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Carr'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Shasta, Trinity'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '229,651'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '92,936.5'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1,604'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Matilija'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ventura'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '220,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '89,030'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'September 1932'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Witch'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'San Diego'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '197,990'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '80,123.7'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'October 2007'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1,650'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
