"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Alias'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Organization Name'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Country / Region'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Established'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Website'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'AIA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Association for Industrial Archaeology'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Great Britain'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1973'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'industrial-archaeology.org'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'AIPAI'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""L'Associazione Italiana per il Patrimonio Archeologico Industriale""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Italy'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1997'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'www.patrimonioindustriale.it/sezioniregionali.shtm'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'APPI'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Associação Portuguesa para o Património Industrial'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Portugal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1997'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'www.museudaindustriatextil.org/appi'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'CILAC'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Comité d'information et de liaison pour l'archéologie, l'étude et la mise en valeur du patrimoine industriel""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1979'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'www.cilac.com'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'E-FAITH'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'European Federation of Associations of Industrial and Technical Heritage'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Europe'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'www.e-faith.org'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'FIEN'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Federatie Industrieel Erfgoed Nederland'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Netherlands'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1984'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'www.industrieel-erfgoed.nl'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'IHAI'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Industrial Heritage Association of Ireland'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ireland'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1996'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'www.ihai.ie'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'IHTIA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Institute for the History of Technology and Industrial Archaeology'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'West Virginia University, Morgantown, West Virginia, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1989'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'http://www.as.wvu.edu/ihtia'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'JIAS'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Japan Industrial Archaeology Society'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Japan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1977'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'jias.o.oo7.jp/index.html'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'LIMF'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Latvijas Industriālā mantojuma fonds'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Latvia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1992'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'English version'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'AIR'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Romanian Association for Industrial Archaeology'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Romania'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2007'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'PIWB'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Patrimoine Industriel Wallonie-Bruxelles'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Belgium'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1984'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'http://www.patrimoineindustriel.be/en/piwb'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SIA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Society for Industrial Archeology'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States / Canada'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1971'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'www.sia-web.org'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Selskabet til Bevaring af Industrimiljøer'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Denmark'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1979'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'www.fabrikogbolig.dk/index.php'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SGTI / ASHT'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Swiss Society for the History of Technology and Industrial Heritage'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Switzerland'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'www.sgti.ch or www.asht.ch'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SIM'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Svenska industriminnesföreningen'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sweden'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1989'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'www.sim.se'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TICCIH'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The International Committee for the Conservation of the Industrial Heritage'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'international'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1978'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'www.ticcih.org'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TICCIH España'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Spain'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1999'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'www.ticcih.es'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TICCIH Germany'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Germany'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'German TICCIH National Committee'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TICCIH Mexico'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mexico'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2006'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'www.ticcihmexico.org'}"
