"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Obs. code Map'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Description'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Country'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Region'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'MPC-list'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Royal Observatory, Greenwich'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United Kingdom'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'ENG'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Greenwich'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '001'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Isaac Roberts' Observatory""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United Kingdom'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'ENG'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Crowborough'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '002'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rayleigh Observatory, Chelmsford borough, Essex'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United Kingdom'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'ENG'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rayleigh'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '003'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Montpellier Observatory (Observatoire de la Babote; Montpellier Babote Observatory)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Occ'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Montpellier'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '004'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Toulouse Observatory'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Occ'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Toulouse'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '005'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Paris Observatory (Observatoire de Paris; Observatoire de Paris-Meudon)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'IDF'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Meudon'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '006'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Fabra Observatory (Observatori Fabra)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Spain'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'CT'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Fabra Observatory, Barcelona'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '007'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Paris Observatory (Observatoire de Paris; Observatoire de Paris-Meudon)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'IDF'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Paris'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '008'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Algiers Observatory (Centre de Recherche en Astronomie Astrophysique et Géophysique)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Algeria'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Algiers-Bouzareah'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Uecht Observatory (Sternwarte Uecht, Solar Observatory at Uecht)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Switzerland'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SWG'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Berne-Uecht'}"
