"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Season'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Team'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Overall'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Conference'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Standing'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Postseason'}"
"{'column_span': 9, 'is_header': False, 'row_span': 1, 'value': 'Muskingum Fighting Muskies (Independent) (1920–1922)'}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1920–21'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Muskingum'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20–4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1921–22'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Muskingum'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8–10'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 9, 'is_header': False, 'row_span': 1, 'value': 'Muskingum Fighting Muskies (Ohio Athletic Conference) (1922–1923)'}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1922–23'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Muskingum'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–11'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Muskingum:'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '34–25 (.576)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 5, 'is_header': False, 'row_span': 1, 'value': ''}",,
"{'column_span': 9, 'is_header': False, 'row_span': 1, 'value': 'Davis & Elkins Senators (Independent) (1923–1924)'}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1923–24'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Davis & Elkins'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10–7'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 9, 'is_header': False, 'row_span': 1, 'value': 'Davis & Elkins Senators (West Virginia Intercollegiate Athletic Conference) (1924–1935)'}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1924–25'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Davis & Elkins'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '22–0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1925–26'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Davis & Elkins'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '15–4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1926–27'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Davis & Elkins'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '23–3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1927–28'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Davis & Elkins'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '14–4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1928–29'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Davis & Elkins'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20–5'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
