"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Part'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Description'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Image'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MC6810'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '128 byte static RAM'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Brochure'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MC6820'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Peripheral Interface Adapter (PIA)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Brochure'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MC6821'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Peripheral Interface Adapter (PIA)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Brochure'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MC6828'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Priority Interrupt Controller (PIC)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Brochure'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MCM6830'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1024 byte ROM'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Brochure'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MC6840'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Programmable Timer Module (PTM)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Brochure'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MC6843'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Floppy Disk Controller (FDC)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Brochure'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MC6844'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Direct Memory Access Controller (DMAC)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Brochure'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MC6845'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'CRT Controller (CRTC)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Brochure'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MC6846'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'ROM-I/O-Timer'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Brochure'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MC68488'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'General Purpose Interface Adapter (GPIB) IEEE488'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Brochure'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MC6850'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Asynchronous Communication Interface Adapter (ACIA)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Brochure'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MC6852'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Synchronous Serial Data Adapter (SDAA)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Brochure'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MC6854'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Advanced Data Link Controller (ADLC)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Brochure'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MC6860'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '0-600 bit/s Digital Modem'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Brochure'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MC6862'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2400 bit/s Modulator'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Brochure'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MC6870'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Two Phase Microprocessor Clock'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Advertisement'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MC6875'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Clock Generator'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Brochure'}"
