"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Year'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Winning team'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Coach'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Losing team'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Coach'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Score'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Location'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Venue'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Reference'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1960'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Michigan Tech† Denver‡'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MacInnes, JohnJohn MacInnes Armstrong, MurrayMurray Armstrong'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'North Dakota Colorado College'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Thorndycraft, BarryBarry Thorndycraft Frasca, TonyTony Frasca'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9–7* 12–3*'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Houghton, Michigan Denver, Colorado'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dee Stadium DU Arena'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1961'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Minnesota† Denver‡'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mariucci, JohnJohn Mariucci Armstrong, MurrayMurray Armstrong'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Michigan Michigan Tech'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Renfrew, AlAl Renfrew MacInnes, JohnJohn MacInnes'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–4* 17–3*'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Minneapolis, Minnesota Denver, Colorado'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Williams Arena DU Arena'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1962'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Michigan Tech'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MacInnes, JohnJohn MacInnes'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Michigan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Renfrew, AlAl Renfrew'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ann Arbor, Michigan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Weinberg Coliseum'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1963'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Denver'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Armstrong, MurrayMurray Armstrong'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'North Dakota'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Thorndycraft, BarryBarry Thorndycraft'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5–4 (OT)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Denver, Colorado'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'DU Arena'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1964'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Denver'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Armstrong, MurrayMurray Armstrong'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Michigan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Renfrew, AlAl Renfrew'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ann Arbor, Michigan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Weinberg Coliseum'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1965'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Michigan Tech'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MacInnes, JohnJohn MacInnes'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'North Dakota'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Peters, BobBob Peters'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Grand Forks, North Dakota'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Winter Sports Building'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1966'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Michigan State† Denver‡'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bessone, AmoAmo Bessone Armstrong, MurrayMurray Armstrong'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Michigan Tech North Dakota'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MacInnes, JohnJohn MacInnes Peters, BobBob Peters'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4–3 5–4 (OT)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Houghton, Michigan Denver, Colorado'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dee Stadium DU Arena'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1967'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Michigan State† North Dakota‡'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bessone, AmoAmo Bessone Selman, BillBill Selman'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Michigan Tech Denver'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MacInnes, JohnJohn MacInnes Armstrong, MurrayMurray Armstrong'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2–1 (OT) 3–2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Houghton, Michigan Denver, Colorado'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dee Stadium DU Arena'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1968'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'North Dakota† Denver‡'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Selman, BillBill Selman Armstrong, MurrayMurray Armstrong'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Michigan Tech Minnesota'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MacInnes, JohnJohn MacInnes Sonmor, GlenGlen Sonmor'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3–2* 16–3*'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Houghton, Michigan Denver, Colorado'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dee Stadium DU Arena'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1969'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Michigan Tech† Denver‡'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MacInnes, JohnJohn MacInnes Armstrong, MurrayMurray Armstrong'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Michigan Colorado College'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Renfrew, AlAl Renfrew Matchefts, JohnJohn Matchefts'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7–4 3–1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ann Arbor, Michigan Denver, Colorado'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Weinberg Coliseum DU Arena'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
