"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Sail no.'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Yacht name'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Original team/syndicate'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Competitive history'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Subsequent history'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'ITA–1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Il Moro di Venezia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Il Moro di Venezia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Trial boat (never raced)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Originally launched 11 March 1990. Sausalito Challenge SF, USA'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'FRA–2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Le Défi Francais'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Trial boat (never raced)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Actually launched a week prior to ITA–1, 3 March 1990, but was second sail number issued. Currently on display at Conservatoire International de la Plaisance de Bordeaux, France.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'JPN–3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nippon Challenge'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Trial boat (never raced)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'On display at Gamagori Station, Gamagōri, Aichi, Japan'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SLO–4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Slovenian Challenge'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Only wooden IACC Yacht. Yugoslav America's Cup Organization Maribor (YACOMA), representing the former Yugoslavia prior to breakup.""}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'ESP–5'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Desafio Español'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Trial boat (never raced)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sold to Poland for a Polish campaign (that never materialised, re-registered as POL–5, in early 2007 sold to Supersail Deutschland for corporate charters in Kiel, sail number is ESP–5 again.)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'JPN–6'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nippon Challenge'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Trial boat (never raced)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'On display at Takeshima wharf, Gamagōri, Aichi, Japan'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'ITA–7'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Il Moro di Venezia II'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Il Moro di Venezia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Trial boat (never raced)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Launched at Puerto Portals, Palma de Mallorca, Spain, on 7 August 1990. Trieste, Italy.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'FRA–8'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Le Défi Francais'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Available for Charter in la Seyne sur Mer – F2 Ville de Paris – seaworthy condition, hull needs some cosmetic work, parts used from sister ship FRA–27.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA–9'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jayhawk'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'America³'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Raced in R-R 1 of 1992 defender series 0–6 discarded for USA–18, USA–23'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Launched on 1 May 1991. On display in Wichita, Kansas.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'NZL–10'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'NZ Challenge'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Trial boat (never raced)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Charter in Nassau, Bahamas'}"
