"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Country'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Division'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Anti-corruption Agency'}"
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Argentina'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Oficina Anticorrupción'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Australia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'New South Wales New South Wales'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Independent Commission Against Corruption (New South Wales)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Queensland Queensland'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Crime and Corruption Commission'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South Australia South Australia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Independent Commissioner Against Corruption'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Victoria (Australia) Victoria'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Independent Broad-based Anti-corruption Commission (IBAC) Office of Police Integrity (defunct)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Western Australia Western Australia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Corruption and Crime Commission'}"
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Austria'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bundesamt zur Korruptionsprävention und Korruptionsbekämpfung (BAK)'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Azerbaijan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Commission on Combating Corruption Anti-Corruption General Directorate with the Prosecutor General'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Bangladesh'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Anti Corruption Commission (Bangladesh)'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Myanmar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Anti-Corruption Commission (Myanmar)'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Burundi'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Anti-corruption and Economic Malpractice Observatory'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Bhutan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Anti-Corruption Commission (Bhutan)'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Cameroon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Anti-Corruption Observatory'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Canada'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Quebec'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Unité permanente anticorruption'}"
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': ""People's Republic of China""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'China Mainland China'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Supervisory Commission'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Central Commission for Discipline Inspection'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""People's Liberation Army People's Armed Police""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Commission for Discipline Inspection of the Central Military Commission'}"
