"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Res.'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Record'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Opponent'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Method'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Event'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Date'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Round'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Time'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Location'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Notes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Win'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20–7 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ion Pascu'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Decision (unanimous)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bellator 207'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'October 12, 2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5:00'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Uncasville, Connecticut, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Win'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19–7 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Fernando Gonzalez'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Decision (unanimous)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bellator 193'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'January 26, 2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5:00'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Temecula, California, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Catchweight (180 lbs) bout.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Loss'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18–7 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Paul Daley'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'KO (punches)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bellator 183'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'September 24, 2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2:40'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'San Jose, California, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Loss'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18–6 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Douglas Lima'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Decision (unanimous)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bellator NYC'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'June 24, 2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5:00'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'New York City, New York, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'For the Bellator Welterweight World Championship.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Win'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18–5 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Neil Magny'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TKO (elbows)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'UFC 202'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'August 20, 2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4:08'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Las Vegas, Nevada, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Win'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '17–5 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jorge Masvidal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Decision (split)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'UFC Fight Night: Almeida vs. Garbrandt'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'May 29, 2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5:00'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Las Vegas, Nevada, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Loss'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16–5 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Albert Tumenov'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Decision (split)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'UFC 195'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'January 2, 2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5:00'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Las Vegas, Nevada, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Win'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16–4 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Santiago Ponzinibbio'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TKO (punches)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'UFC Fight Night: Machida vs. Romero'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'June 27, 2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3:07'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hollywood, Florida, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Fight of the Night.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Win'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '15–4 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'John Howard'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TKO (punches)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'UFC Fight Night: McGregor vs. Siver'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'January 18, 2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2:17'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Boston, Massachusetts, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Welterweight debut; Performance of the Night.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Loss'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '14–4 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Derek Brunson'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Decision (unanimous)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'UFC 177'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'August 30, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5:00'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sacramento, California, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
