"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Party'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Votes'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '%'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Seats'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Union for the Triumph of Democratic Renewal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '194,213'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18.9'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Rally for Democracy'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '124,392'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12.1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'PNDD–PRD'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '120,705'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '11.7'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Our Common Cause'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '104,347'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10.1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'PSD–UNSP'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '101,348'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9.8'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MNDD–MSUP–UDRN'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '86,556'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8.4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Union for Democracy and National Solidarity'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '72,899'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7.1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Liberal Democrats' Rally for National Reconstruction – Vivoten""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '57,852'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5.6'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'ADP–UDRS'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '38,684'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3.8'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'ASD–BSD'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '35,700'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3.5'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3'}"
