"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Accessory Name'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Description'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Manufacturer'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Arkanoid Controller'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Specific controller for three Arkanoid games.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Taito'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'ASCII Stick L5'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'One handed Famicom controller.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'ASCII Corporation'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bandai Karaoke Studio'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Famicom Microphone and unit that operates on its own cartridges'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bandai'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Barcode Battler II'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Connected via a cable included in Barcode World'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Epoch Co.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'BPS-Max'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'NES-Max equivalent for the Famicom'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bullet-Proof Software'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Datach'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mini-Cartridge adaptor with barcode reader'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Unknown Bandai'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'FamiCoin'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Licensed colored ""coins"" that can be placed on the controller\'s directional pad (possibly to provide extra grip or reduce the ""Nintendo thumb"")'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Taito'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Famicom 3D System'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""A liquid crystal shutter headset which gave compatible games the illusion of 3D depth, like the Sega Master System's SegaScope 3D glasses.""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nintendo'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Famicom Data Recorder'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Device for saving and loading programs onto standard audio cassettes for programs made in Family BASIC. The Data Recorder and cassettes could also be utilized to store user-created data for the cartridge games Excitebike, Mach Rider, Wrecking Crew, and Castlequest.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nintendo'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Famicom Controller'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The original Famicom controller. Two controllers were permanently attached to the Famicom.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nintendo'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Family Converter'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'NES/Famicom cartridge adaptor.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Honey Bee'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Family Computer Disk System'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'A unit that read non standard disks with content downloaded from Nintendo Disk Writer vending machines at stores.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nintendo'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Famicom Fitness System (FSS)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'bicycle trainer'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bridgestone Cycle'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Famicom 4-Players Adaptor'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Allows 4 players to play games at once. Not compatible with the NES Satellite or other NES 4-player adapters.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nintendo'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Famicom Light Gun'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'A handgun-style light gun.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nintendo'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Famicom Modem'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Used to connect to a Nintendo server which provided content such as jokes, news (mainly about Nintendo), game tips, weather reports for Japan and allowed a small number of games to be downloaded.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nintendo'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Famicom RF Booster'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'RF connector.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hori'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Famicom S.D. System'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Plugs into system's expansion slot for use with headphones.""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hori'}"
