"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Title'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Director'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Cast'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Genre'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Notes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Naag Jyoti'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Shantilal Soni'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mahipal, Anita Guha, Sunder, Indira Billi, Ratanmala, Rajan Haksar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Fantasy'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Music: Sardar Malik Lyrics: Bharat Vyas'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Naag Mohini'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Shantilal Soni'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mahipal, Vijaya Chaudhary, Sunder, Rajan Haksar, Uma Dutt'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Fantasy'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Music: Sardar Malik Lyrics: Bharat Vyas'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nartakee'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nitin Bose'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sunil Dutt, Nanda, Zeb Rehman, Om Prakash, Surekha, Agha, Aruna Irani, Nana Palsikar, Moni Chatterjee, Polson'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Social Drama'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Music: Ravi Lyrics: Shakeel Badayuni'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Parasmani'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Babubhai Mistri'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mahipal, Ragini, Helen, Nalini Chonkar, Manhar Desai, Jeevankala, Aruna Irani, Jugal Kishore'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Fantasy'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Music: Laxmikant Pyarelal Lyrics: Asad Bhopali, Indeevar'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Phir Wohi Dil Laya Hoon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nasir Hussain'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Asha Parekh, Joy Mukherjee, Pran, Rajendra Nath, Veena, Tabassum, Shetty, Ram Avtar, Krishan Dhawan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Romance'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Music: O. P. Nayyar Lyrics: Majrooh Sultanpuri'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Phool Bane Angaare'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Suraj Prakash'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Raaj Kumar, Mala Sinha, Johnny Walker, Shammi, Mukri, Ashish Kumar, Tun Tun, Sushil Kumar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'War Drama'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Music: Kalyanji Anandji Lyrics: Anand Bakshi'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pyaar Kiya To Darna Kya'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'B. S. Ranga'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Shammi Kapoor, B Saroja Devi, Prithviraj Kapoor, Pran, Om Prakash'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Romantic Family Drama'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Music: Ravi Lyrics: Shakeel Badayuni'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pyar Ka Bandhan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Naresh Saigal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Raaj Kumar, Nishi, Naaz, Helen, Dhumal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Family Drama'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Music: Ravi Lyrics: Sahir Ludhianvi, Naqsh Lyallpuri, Qamar Jalalabadi'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Raaja'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Radhakant'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jagdeep, Vijaya Chaudhary, Jeevan, Helen, Veena, Sunder, Ulhas'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Drama'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Music: S. N. Tripathi Lyrics: Anand Bakshi, Prem Dhawan'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rocket Tarzan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'B. J. Patel'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rajan, Shakila Bano Bhopali, Polson, Nilofar, Shanti, Dalpat, Bhagwandas'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Fantasy Sci-Fi'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Music: Robin Banerjee Lyrics: Yogesh'}"
