"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Direction'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Country of origin'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Swimmer'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Year'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Time'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Notes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'England to France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United Kingdom'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Matthew Webb'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1875'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '21:45'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First crossing from England to France on 25 August 1875.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'England to France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United Kingdom'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Thomas William Burgess'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1911'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '22:35'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Second crossing from England to France.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'England to France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United Kingdom'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Henry Sullivan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1923'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '26:50'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Third crossing from England to France.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France to England'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Argentina'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Enrique Tirabocchi'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1923'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16:33'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First crossing from France to England.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France to England'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Charles Toth'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1923'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16:58'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Third crossing from France to England.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France to England'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gertrude Ederle'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1926'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '14:39'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First woman to cross in either direction.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France to England'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Amelia Gade Corson'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1926'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '15:29'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First mother to cross from England to France.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France to England'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United Kingdom'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mercedes Gleitze'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1927'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '15:15'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First British woman to cross the English Channel.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France to England'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United Kingdom'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hilda ""Laddie"" Sharp'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1928'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '14:58'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '15th to cross and the 5th fastest.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France to England'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South Africa'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Margaret Duncan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1930'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16:17'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First woman from South Africa to swim the English Channel.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France to England'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United Kingdom'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Edward H. Temme'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1934'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '15:34'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First man to swim the English Channel in both directions. He swam from France to England in August 1927 and from England to France on 18 August 1934.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'England to France to England'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Florence Chadwick'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1953'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '14:42'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First woman to swim the English Channel in both directions.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France to England'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Canada'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Winnie Leuszler'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1951'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '13:25'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First Canadian to swim the English Channel.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'England to France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mexico'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Damian Pizá Beltran'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1953'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '15:23'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First Mexican to swim the English Channel.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France to England'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Portugal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Joaquim Baptista Pereira [pt]'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1954'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12:00'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France to England'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Egypt'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Abdellatief Abouheif'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1955'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '11:44'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Winner of a special 1955 race from France to England, competed against another 11 male and four female contenders.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France to England'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bangladesh'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Brojen Das'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1958'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First Asian (from Bikrampur, East Pakistan; now Bangladesh) to swim the English Channel, at the English Channel Swimming Competition in 1958.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'England to France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'India'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mihir Sen'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1958'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First Indian to swim the English Channel.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France to England'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'India'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Arati Saha'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1959'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '14:20'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First Indian woman and first Asian woman to swim the English Channel.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France to England'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Macedonia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Niko Nestor'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1959'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12:06'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First Macedonian to swim the English Channel.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'England to France to England'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Argentina'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Antonio Abertondo'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1961'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '43:10'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First person to swim the channel both ways non-stop.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France to England'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Macedonia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Atina Bojadži'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1969'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '13:20'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First Macedonian woman to swim the English Channel.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'England to France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Poland'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Teresa Zarzeczanska'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1975'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '11:10'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First Polish woman to swim the English Channel.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'England to France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Poland'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Romuald Szopa'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1978'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12:49'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First Polish man to swim the English Channel.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'England to France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United Kingdom'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mary Yeats'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1979'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '11:19'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First Scottish woman to swim the English Channel.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'England to France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Charles Chapman'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1981'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12:30'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First black swimmer to cross the Channel.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'England to France to England to France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jon Erikson'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1981'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '38:27'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First person to swim the channel three way.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'England to France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United Kingdom'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Chris Little'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1986'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '17:23'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'North Yorkshire Long Distance Club, Youngest person to swim one way until 1988.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'England to France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tunisia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nejib Belhedi'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1993'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16:35'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First Tunisian to swim the channel, namesake of a trophy for swimming the channel at the highest tide.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'England to France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Australia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'John Maclean'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1998'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12:55'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First paraplegic to swim the Channel.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'England to France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Barbados'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Chris Gibbs'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2003'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '11:30'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First person from a Caribbean country to swim the English Channel. Aged 58, and member of The Merrymen Calypso band.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'England to France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'India'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ashwin Krishnasamy'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2007'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16:07'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Youngest successful swimmer (12 years old) to cross the English Channel for the year 2007.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'England to France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bulgaria'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Petar Stoychev'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2007'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6:57'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First swimmer to cross the English Channel under 7 hours.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'England to France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Philippe Croizon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2010'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '13:28'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First quadruple amputee to swim the English Channel.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'England to France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Iceland'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sigrún Þuríður Geirsdóttir'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '22:34'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First woman from Iceland to swim the English Channel.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'England to France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United Kingdom'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Daniel Lee'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2008'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '13:42'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First teenager and third youngest British citizen to swim the channel.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'England to France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ecuador'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sara Palacios'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12:58'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First Ecuadorian citizen and South American Woman to swim the channel.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'England to France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United Kingdom'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Leah Chowdhry'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '14:44'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First British Asian Woman to swim the Channel'}"
