"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2001–2002'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2003–2004'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2005–2006'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2007–2008'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2009–2011'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2012–2016'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Engine'}","{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': '988 cc (60.3 cu in), 4-stroke, four-cylinder, liquid-cooled, DOHC 16-valve, TSCC'}","{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': '998.6 cc (60.94 cu in), 4-stroke, four-cylinder, liquid-cooled, DOHC, 16-valve, TSCC'}","{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': '999 cc (61.0 cu in), 4-stroke, four-cylinder, liquid-cooled, DOHC, 16-valve'}",,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Bore × stroke:'}","{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': '73.0 mm × 59.0 mm (2.87 in × 2.32 in)'}","{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': '73.4 mm × 59.0 mm (2.89 in × 2.32 in)'}","{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': '74.5 mm × 57.3 mm (2.93 in × 2.26 in)'}",,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Compression ratio:'}","{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': '12.0:1'}","{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': '12.5:1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12.8:1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12.9:1'}",,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Fuel system:'}","{'column_span': 6, 'is_header': False, 'row_span': 1, 'value': 'Fuel injection'}",,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Lubrication:'}","{'column_span': 6, 'is_header': False, 'row_span': 1, 'value': 'Wet sump'}",,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Ignition:'}","{'column_span': 6, 'is_header': False, 'row_span': 1, 'value': 'Digital/transistorized'}",,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Power'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '103.7 kW (139.0 hp) (rear wheel)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '113.6 kW (152.3 hp) (rear wheel)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '109.8 kW (147.3 hp) (rear wheel)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '117.2 kW (157.2 hp) (rear wheel)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '116.5 kW (156.2 hp) (rear wheel)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '116.9 kW (156.8 hp) (rear wheel)'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Torque'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '102.2 N⋅m (75.4 lb⋅ft) (rear wheel)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '105.9 N⋅m (78.1 lb⋅ft) (rear wheel)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '102.2 N⋅m (75.4 lb⋅ft) (rear wheel)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '103.2 N⋅m (76.1 lb⋅ft) (rear wheel)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '103.7 N⋅m (76.5 lb⋅ft) (rear wheel)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '104.3 N⋅m (76.9 lb⋅ft) (rear wheel)'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Top Speed'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '173 mph (278 km/h)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '178 mph (286 km/h)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Transmission:'}","{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': '6-speed, constant mesh'}","{'column_span': 4, 'is_header': False, 'row_span': 1, 'value': '6-speed, constant mesh, Back-torque limiting clutch'}",,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Drive:'}","{'column_span': 3, 'is_header': False, 'row_span': 1, 'value': '#530 chain(110 links) 17T / 42T'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '#530 chain(110 links) 17T / 43T'}","{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': '#530 chain(114 links) 17T / 42T'}",,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Length:'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2,045 mm (80.5 in)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2,070 mm (81.5 in)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2,030 mm (79.9 in)'}","{'column_span': 3, 'is_header': False, 'row_span': 1, 'value': '2,045 mm (80.5 in)'}",,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Width:'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '715 mm (28.1 in)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '715 mm (28.1 in)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '710 mm (28.0 in)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '720 mm (28.3 in)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '710 mm (28.0 in)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '705 mm (27.8 in)'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Height:'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1,135 mm (44.7 in)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1,145 mm (45.1 in)'}","{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': '1,130 mm (44.5 in)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Seat height:'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '830 mm (32.7 in)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '820 mm (32.3 in)'}","{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': '810 mm (31.9 in)'}",,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Ground clearance:'}","{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': '130 mm (5.1 in)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '125 mm (4.9 in)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '120 mm (4.7 in)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Wheelbase:'}","{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': '1,410 mm (55.5 in)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1,405 mm (55.3 in)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1,415 mm (55.7 in)'}","{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': '1,405 mm (55.3 in)'}",,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Dry weight:'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'N/A'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'N/A'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Wet weight:'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '197 kg (435 lb)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '201 kg (443 lb)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '199 kg (439 lb)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '213 kg (469 lb)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '209 kg (460 lb)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '203 kg (448 lb)'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Suspension front:'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kayaba 43 mm (1.7 in) Inverted telescopic, coil spring, oil damped, spring pre-load fully adjustable, rebound compression damping force adjustable.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kayaba 43 mm (1.7 in) Inverted telescopic forks with DLC coating, spring preload, rebound and compression adjustment'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Inverted telescopic, coil spring, fully adjustable spring preload, compression and rebound damping'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Inverted telescopic, coil spring, fully adjustable spring preload, high & low speed compression and rebound damping'}","{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Inverted telescopic, coil spring, fully adjustable spring preload, high & low speed compression and rebound damping'}",
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Suspension rear:'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Link type, gas/oil damped, coil spring, spring pre-load fully adjustable, rebound damping force and compression damping force adjustable'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Link type, coil spring, oil damped, adjustable spring preload, compression and rebound damping'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Link-type, gas/oil-damped, fully adjustable spring preload, compression and rebound damping'}","{'column_span': 3, 'is_header': False, 'row_span': 1, 'value': 'Link-type, gas/oil-damped, fully adjustable spring preload, high & low speed compression and rebound damping'}",,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Brakes front:'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Twin semi floating stainless discs 320 mm (12.6 in) and Tokico 6 piston calipers'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Twin 300 mm (11.8 in) semi floating stainless discs and Tokico 4 piston radial mounted calipers'}","{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Twin 310 mm (12.2 in) semi floating stainless discs and Tokico 4 piston radial mounted calipers'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Twin 310 mm (12.2 in) semi floating stainless discs and Tokico 4 piston Mono Block radial mounted calipers'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Twin 310 mm (12.2 in) floating discs and Brembo 4 piston radial mounted calipers'}",
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Brakes rear:'}","{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Single 220 mm (8.7 in) disc and Tokico dual piston caliper'}","{'column_span': 4, 'is_header': False, 'row_span': 1, 'value': 'Single 220 mm (8.7 in) disc and Tokico pin-slide single piston caliper'}",,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Tires front:'}","{'column_span': 6, 'is_header': False, 'row_span': 1, 'value': '120/70-ZR-17'}",,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Tires rear:'}","{'column_span': 6, 'is_header': False, 'row_span': 1, 'value': '190/50-ZR-17'}",,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Fuel tank capacity:'}","{'column_span': 4, 'is_header': False, 'row_span': 1, 'value': '18 L (4.0 imp gal; 4.8 US gal)'}","{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': '17.5 L (3.8 imp gal; 4.6 US gal)'}",,,,
