"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'District'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Vacator'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Reason for Vacancy'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Successor'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Louisiana 2nd'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Vacant'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rep. Robert C. Davey died during previous congress'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Samuel L. Gilmore (D)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 30, 1909'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ohio 21st'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Vacant'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rep. Theodore E. Burton resigned during previous congress'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'James H. Cassidy (R)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'April 20, 1909'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Illinois 6th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'William Lorimer (R)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Resigned June 17, 1909, after being elected to the U.S. Senate'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'William Moxley (R)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 23, 1909'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Washington 2nd'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Francis W. Cushman (R)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Died July 6, 1909'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'William W. McCredie (R)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 2, 1909'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Virginia 4th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Francis R. Lassiter (D)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Died October 31, 1909'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Robert Turnbull (D)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 8, 1910'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Philippines Resident Commissioner'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pablo Ocampo'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Term ended November 22, 1909'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Manuel L. Quezon (Unionist)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 23, 1909'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Missouri 6th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'David A. De Armond (D)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Died November 23, 1909'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Clement C. Dickinson (D)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'February 1, 1910'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Georgia 2nd'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'James M. Griggs (D)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Died January 5, 1910'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Seaborn Roddenbery (D)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'February 6, 1910'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Massachusetts 14th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'William C. Lovering (R)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Died March 11, 1910'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Eugene Foss (D)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'January 4, 1911'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'New York 32nd'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'James B. Perkins (R)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Died February 4, 1910'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'James S. Havens (D)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'April 19, 1910'}"
