"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Year'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Champions'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Runners-up'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Score'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1968'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France Françoise Dürr United Kingdom Ann Haydon-Jones'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Rosemary Casals United States Billie Jean King'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7–5, 4–6, 6–4'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1969'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France Françoise Dürr United Kingdom Ann Haydon-Jones'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Nancy Richey Australia Margaret Court'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–0, 4–6, 7–5'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1970'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France Gail Chanfreau France Françoise Dürr'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Rosemary Casals United States Billie Jean King'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–1, 3–6, 6–3'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1971'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France Gail Chanfreau France Françoise Dürr'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Australia Helen Gourlay Australia Kerry Harris'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–4, 6–1'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1972'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Billie Jean King Netherlands Betty Stöve'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United Kingdom Winnie Shaw United Kingdom Nell Truman'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–1, 6–2'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1973'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Australia Margaret Court United Kingdom Virginia Wade'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France Françoise Dürr Netherlands Betty Stöve'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–2, 6–3'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1974'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Chris Evert Soviet Union Olga Morozova'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France Gail Chanfreau West Germany Katja Ebbinghaus'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–4, 2–6, 6–1'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1975'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Chris Evert Czechoslovakia Martina Navratilova'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Julie Anthony Soviet Union Olga Morozova'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–3, 6–2'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1976'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Uruguay Fiorella Bonicelli France Gail Chanfreau'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Kathleen Harter West Germany Helga Niessen Masthoff'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–4, 1–6, 6–3'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1977'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Czechoslovakia Regina Maršíková United States Pam Teeguarden'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Rayni Fox Australia Helen Gourlay'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5–7, 6–4, 6–2'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1978'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Socialist Federal Republic of Yugoslavia Mima Jaušovec Romania Virginia Ruzici'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Australia Lesley Turner France Gail Chanfreau'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5–7, 6–4, 8–6'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1979'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Netherlands Betty Stöve Australia Wendy Turnbull'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France Françoise Dürr United Kingdom Virginia Wade'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3–6, 7–5, 6–4'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1980'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Kathy Jordan United States Anne Smith'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Argentina Ivanna Madruga Argentina Adriana Villagrán'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–1, 6–0'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1981'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South Africa Rosalyn Fairbank Nideffer South Africa Tanya Harford'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Candy Reynolds United States Paula Smith'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–1, 6–3'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1982'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Martina Navratilova United States Anne Smith'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Rosemary Casals Australia Wendy Turnbull'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–3, 6–4'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1983'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South Africa Rosalyn Fairbank Nideffer United States Candy Reynolds'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Kathy Jordan United States Anne Smith'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5–7, 7–5, 6–2'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1984'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Martina Navratilova United States Pam Shriver'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'West Germany Claudia Kohde-Kilsch Czechoslovakia Hana Mandlíková'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5–7, 6–3, 6–2'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1985'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Martina Navratilova United States Pam Shriver'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'West Germany Claudia Kohde-Kilsch Czechoslovakia Helena Suková'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4–6, 6–2, 6–2'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1986'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Martina Navratilova Hungary Andrea Temesvári'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'West Germany Steffi Graf Argentina Gabriela Sabatini'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–1, 6–2'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1987'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Martina Navratilova United States Pam Shriver'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'West Germany Steffi Graf Argentina Gabriela Sabatini'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–2, 6–1'}"
