"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '№'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Name (Birth–Death)'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Portrait'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Term of office'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Convocations'}"
"{'column_span': 1, 'is_header': True, 'row_span': 5, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 4, 'is_header': True, 'row_span': 1, 'value': 'Chairman of the Central Executive Committee of the Congress of Soviets (1922–1938)'}",,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Mikhail Kalinin (1875–1946)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '30 December 1922 – 12 January 1938'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1st–8th Convocation'}",
"{'column_span': 4, 'is_header': True, 'row_span': 1, 'value': 'Chairman of the Presidium of the Supreme Soviet (1938–1989)'}",,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Mikhail Kalinin (1875–1946)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '17 January 1938 – 19 March 1946'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1st Convocation'}",
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Nikolay Shvernik (1888–1970)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'A picture taken by the Soviet Government of Nikolai Shvernik in grey'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 March 1946 – 15 March 1953'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2nd–3rd Convocation'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Kliment Voroshilov (1881–1969)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'A photo taken in 1937 of Kliment Voroshilov'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '15 March 1953 – 7 May 1960'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3rd–5th Convocation'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '4'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Leonid Brezhnev (1906–1982)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'An official portrait of Leonid Brezhnev dating back to 1977'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7 May 1960 – 15 July 1964'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5th–6th Convocation'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '5'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Anastas Mikoyan (1895–1978)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '15 July 1964 – 9 December 1965'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6th Convocation'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '6'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Nikolai Podgorny (1903–1983)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nikolai Podgorny as depicted during his visit to the German Democratic Republic in 1963'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9 December 1965 – 16 June 1977'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6th–9th Convocation'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '(4)'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Leonid Brezhnev (1906–1982)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'An official portrait of Leonid Brezhnev dating back to 1977'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16 June 1977 – 10 November 1982'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9th–10th Convocation'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '—'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Vasili Kuznetsov (1901–1990)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kuznetzov 43062X8X18.JPG'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10 November 1982 – 16 June 1983'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '10th Convocation'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '7'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Yuri Andropov (1914–1984)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16 June 1983 – 9 February 1984'}",
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '—'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Vasili Kuznetsov (1901–1990)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kuznetzov 43062X8X18.JPG'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9 February 1984 – 11 April 1984'}","{'column_span': 1, 'is_header': False, 'row_span': 4, 'value': '11th Convocation'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '8'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Konstantin Chernenko (1911–1985)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '11 April 1984 – 10 March 1985'}",
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '—'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Vasili Kuznetsov (1901–1990)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kuznetzov 43062X8X18.JPG'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10 March 1985 – 27 July 1985'}",
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '9'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Andrei Gromyko (1909–1989)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gromyko at the Conference on Security and Cooperation in Europe'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '27 July 1985 – 1 October 1988'}",
"{'column_span': 1, 'is_header': True, 'row_span': 5, 'value': '10'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Mikhail Gorbachev (1931–)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1 October 1988 – 25 May 1989'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '11th–12th Convocation'}"
"{'column_span': 4, 'is_header': True, 'row_span': 1, 'value': 'Chairman of the Supreme Soviet (1989–1990)'}",,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Mikhail Gorbachev (1931–)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '25 May 1989 – 15 March 1990'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12th Convocation'}",
"{'column_span': 4, 'is_header': True, 'row_span': 1, 'value': 'President (1990–1991)'}",,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Mikhail Gorbachev (1931–)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '15 March 1990 – 25 December 1991'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12th Convocation'}",
