"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Year'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Title'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Artist(s)'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Album'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2010'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Best Friend\'s Girl""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sandaime J Soul Brothers'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'J Soul Brothers'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2010'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""On Your Mark ～ヒカリのキセキ～""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sandaime J Soul Brothers'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'J Soul Brothers'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2011'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""24karats STAY GOLD""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Exile (feat. Sandaime J Soul Brothers)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'J Soul Brothers'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2011'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Love Song""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sandaime J Soul Brothers'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'J Soul Brothers'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2011'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Japanese Soul Brothers""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nidaime J Soul Brothers + Sandaime J Soul Brothers'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'J Soul Brothers'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2011'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Fighters""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sandaime J Soul Brothers'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tribal Soul'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2011'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Refrain""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sandaime J Soul Brothers'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tribal Soul'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Go My Way""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sandaime J Soul Brothers'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Miracle'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Hanabi"" (花火)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sandaime J Soul Brothers'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Miracle'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""24karats TRIBE OF GOLD""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Exile Tribe'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Best'}"
