"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Province'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'City/Municipality'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'km'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'mi'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Exit'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Name'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Destinations'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Notes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Zambales'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Olongapo'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '83'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '52'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '83'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Olongapo'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rizal Highway'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'West end of expressway'}"
"{'column_span': 1, 'is_header': False, 'row_span': 8, 'value': 'Bataan'}","{'column_span': 1, 'is_header': False, 'row_span': 7, 'value': 'Hermosa'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '88'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '55'}","{'column_span': 4, 'is_header': False, 'row_span': 1, 'value': 'Total service area B (westbound)'}",,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '88'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '55'}","{'column_span': 4, 'is_header': False, 'row_span': 1, 'value': 'Total service area A (eastbound)'}",,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '88'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '55'}","{'column_span': 4, 'is_header': False, 'row_span': 1, 'value': 'Subic Bay Metropolitan Authority security checkpoint'}",,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '90'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '56'}","{'column_span': 4, 'is_header': False, 'row_span': 1, 'value': 'Tipo toll plaza (cash payments, demolished)'}",,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '91'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '57'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '91'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tipo'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'E5 (Subic-Tipo), Tipo'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Eastbound exit and westbound entrance; continues west as Subic-Tipo Expressway (NLEx Segment 7)'}",,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '91'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '57'}","{'column_span': 4, 'is_header': False, 'row_span': 1, 'value': 'Tipo interchange toll plaza (electronic toll collection, cash payments)'}",,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '104'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '65'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '104'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mabiga'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mabiga'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Unfinished exit in the nearby towns of Naparing and Mabiga of Dinalupihan and Hermosa Municipalities in Bataan respectively'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dinalupihan'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '107'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '66'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '107'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dinalupihan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dinalupihan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Trumpet interchange; connects N3 (Jose Abad Santos Avenue) and N301 (Roman Superhighway)'}",
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Pampanga'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Floridablanca'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '125'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '78'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '125'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Floridablanca'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Floridablanca'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Trumpet interchange; access to Basa Air Base'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Porac'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '139'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '86'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '139'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Porac'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Porac'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Trumpet interchange; access to Alviera'}",
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Porac–Angeles boundary'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 4, 'is_header': False, 'row_span': 1, 'value': 'Pasig–Potrero Bridge over the Pasig–Potrero River'}",,,,
"{'column_span': 2, 'is_header': False, 'row_span': 1, 'value': 'Angeles'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '149'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '93'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '149'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Clark South (Lakandula)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Clark South, Angeles, Clark International Airport'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Folded diamond interchange or partial cloverleaf interchange; access to the Clark Special Economic Zone via Clark International Airport gateway and Manuel Roxas Avenue'}",
