"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Nickname'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Personal name'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Notes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Big Time'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Dick Cheney'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '46th Vice President of the United States of America'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Vice'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rummy'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Donald Rumsfeld'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '21st Secretary of Defense'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Izzy'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Israel Hernandez'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Special Assistant. The latter nickname was given for his role as provider of breath mints to the President on the campaign trail.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Altoid Boy'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Boy Genius'}","{'column_span': 1, 'is_header': False, 'row_span': 3, 'value': 'Karl Rove'}","{'column_span': 1, 'is_header': False, 'row_span': 3, 'value': 'Senior Advisor to the President of the United States'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Turd Blossom'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Architect'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Condi'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Condoleezza Rice'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Secretary of State'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Guru'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""The World's Greatest Hero""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Colin Powell'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Secretary of State'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Big O'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': ""Paul O'Neill""}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Secretary of the Treasury. ""Big O"" superseded the alternate term.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pablo'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Fredo'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Alberto Gonzales'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Attorney General'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Barty'}","{'column_span': 1, 'is_header': False, 'row_span': 5, 'value': 'Dan Barlett'}","{'column_span': 1, 'is_header': False, 'row_span': 5, 'value': 'Deputy Chief of Staff'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bart'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Danny Boy'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Captain Dan'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dan the Man'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ari-Bob'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ari Fleischer'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'White House Press Secretary'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'High Prophet'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Karen Hughes'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Special Advisor, Director of Communications under Texas Governor George W. Bush'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hurricane Karen'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Blade'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Mitch Daniels'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Office of Management and Budget Director'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'My Man Mitch'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Big Country'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Joe Allbaugh'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Federal Emergency Management Agency Director'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Brownie'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Michael D. Brown'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Federal Emergency Management Agency Director'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Brother George'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'George Tenet'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'CIA Director'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tree Man'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Unnamed'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Forest Service official'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'La Margarita'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Margaret Spellings'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Secretary of Education'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tangent Man'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Andrew Card'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'White House Chief of Staff'}"
