"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'S. No.'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'District'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Assembly Constituency'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Mandals'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Elected MLA'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Political Party'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '85'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Guntur'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pedakurapadu'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bellamkonda, Atchampet, Krosuru, Amaravathi and Pedakurapadu mandals'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kommalapati Sridhar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TDP'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '86'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Guntur'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tadikonda (SC)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tulluru, Tadikonda, Phirangipuram and Medikonduru mandals'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sravan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TDP'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '87'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Guntur'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mangalagiri'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tadepalli, Mangalagiri and Duggirala mandals'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Alla Rama Krishna Reddy(RK)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'YSRCP'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '88'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Guntur'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ponnuru'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ponnur, Chebrolu and Pedakakani mandals.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dhulipalla Narendra'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TDP'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '89'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Guntur'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Vemuru (SC)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Vemuru, Kolluru, Tsunduru, Bhattiprolu and Amruthaluru mandals'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nakka Anandababu'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TDP'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '90'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Guntur'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Repalle'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nizampatnam, Nagaram, Cherukupalle and Repalle mandals'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Anagani Satyaprasad'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TDP'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '91'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Guntur'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tenali'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kollipara and Tenali mandals'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Alapati Rajendraprasad'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TDP'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '92'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Guntur'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bapatla'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bapatla, Pittalavanipalem and Karlapalem mandals'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Annam Satish Prabhakar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TDP'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '93'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Guntur'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Prathipadu (SC)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Guntur (except M.Corp), Vatticherukuru, Prathipadu, Pedanandipadu and Kakumanu mandals'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dokka Manikyaprasad'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TDP'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '94'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Guntur'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Guntur West'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Guntur Mandal (Part), Guntur (M.Corp) (Part) and Guntur (M.Corp) – Ward No.1 to 6 and 24 to 28 mandals'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Maddali Giridhar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TDP'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '95'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Guntur'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Guntur East'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Guntur Mandal (Part), Guntur (M.Corp) (Part) and Guntur (M.Corp) – Ward No.7 to 23 mandals'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mohhamod Naseer'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TDP'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '96'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Guntur'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Chilakaluripet'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nadendla, Chilakaluripet and Edlapadu mandals'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Prathipati Pulla Rao'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TDP'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '97'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Guntur'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Narasaraopet'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rompicherla and Narasaraopet mandals'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gopireddy Srinivasa Reddy'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'YSRCP'}"
