"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'University'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'French Name'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Academy'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Aix-Marseille University'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Aix-Marseille Université'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Aix-Marseille'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Avignon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Université d'Avignon et des Pays de Vaucluse""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Aix-Marseille'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Picardie Jules Verne'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université de Picardie Jules-Verne'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Amiens'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Franche-Comté'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université de Franche-Comté'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Besançon'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Bordeaux'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université de Bordeaux'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bordeaux'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""University of Pau and Pays de l'Adour""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Université de Pau et des Pays de l'Adour""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bordeaux'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bordeaux Montaigne University'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université Bordeaux-Montaigne'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bordeaux'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Caen Lower Normandy'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université de Caen Basse-Normandie'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Caen'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Clermont Auvergne'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université Clermont Auvergne'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Clermont-Ferrand'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Corsica Pasquale Paoli'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université de Corse Pasquale Paoli'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Corse'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Paris 12 Val de Marne University'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université Paris-Est Créteil Val-de-Marne'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Créteil'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Paris 13 University'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université Paris 13 – Paris Nord'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Créteil'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Paris 8 University'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université Paris 8 – Vincennes – Saint-Denis'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Créteil'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Marne-la-Vallée'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université Paris-Est Marne-la-Vallée'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Créteil'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Burgundy'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université de Bourgogne'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dijon'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Grenoble Alpes University'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université Grenoble-Alpes'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Grenoble'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Savoy'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université de Savoie'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Grenoble'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of the French West Indies'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université des Antilles'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Guadeloupe and Martinique'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of French Guiana'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université de Guyane'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Guyane'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of La Réunion'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université de La Réunion'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'La Réunion'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of Lille'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Université de Lille'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lille'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'University of the Littoral Opal Coast'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Université du Littoral Côte d'Opale""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lille'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Artois University'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Université d'Artois""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lille'}"
