"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Name'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Images'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Capacity'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Area (m2)'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'City'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Country'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Architectural style'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Year of first building'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Great Mosque of Mecca Arabic: ٱلمـسـجد الـحـرام\u200e'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1,500,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '356,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mecca'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Saudi Arabia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Islamic'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pre-622'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Imam Ali Mosque Arabic: حرم الإمام علي\u200e'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '800,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Najaf'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Iraq'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Islamic'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '900'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Shah Mosque Persian: مسجد شاه\u200e'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Isfahan Royal Mosque general.JPG'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '700,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Isfahan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Iran'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Safavid'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1611'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Al-Masjid an-Nabawi Arabic: المسجد النبوي\u200e'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1,000,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '384,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Medina'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Saudi Arabia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Islamic and Ottoman, Mamluk Revivalist'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Between 634 and 644'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Imam Reza Shrine Persian: حرم امام رضا\u200e'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '500,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '598,657'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mashhad'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Iran'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Iranian'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '818'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sheikh Lotfollah Mosque Persian: مسجد شیخ لطفُ الله\u200e'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sheikh Lotfallah Esfahan.JPG'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '500,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2,500'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Isfahan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Iran'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Isfahani'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1618'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bara Imambara Hindi: बारा इमामबारा Urdu: بارہ امامباڑا\u200e'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mosque Near Bada Imaambada.JPG'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '350,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lucknow'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'India'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mughal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1784'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Istiqlal Mosque Indonesian: Masjid Istiqlal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mosque-IMG 3537.JPG'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '200,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jakarta'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Indonesia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'International Style'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1978'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Taj-ul-Masajid Hindi: ताज-उल-मस्जिद'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '175,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '400,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bhopal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'India'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mughal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1901'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jamkaran Mosque Persian: مسجد جمکران\u200e'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '150,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Qom'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Iran'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Iranian'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '984'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Djamaa el Djazaïr Arabic: جامع الجزائر\u200e'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '120,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Algiers'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Algeria'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Contemporary Islamic'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Under construction'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hassan II Mosque Arabic: مسجد الحسن الثاني\u200e French: Mosquée Hassan-II'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '105,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Casablanca'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Morocco'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Moorish, Moroccan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1993'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Badshahi Mosque Urdu: بادشاہی مسجد\u200e'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '100,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lahore'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pakistan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mughal, Indo-Islamic'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1673'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Chota Imambara Hindi: छोटा इमामबाड़ा] Urdu: چھوٹا امامباڑا\u200e'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '100,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lucknow'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'India'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mughal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1784'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Faisal Mosque Urdu: فیصل مسجد\u200e'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Shah Faisal Masjid, Islamabad.JPG'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '74,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Islamabad'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pakistan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Contemporary Islamic'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1986'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Grand Jamia Mosque Urdu: گرینڈ جامع مسجد\u200e'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '70,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lahore'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pakistan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mughal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2014'}"
