"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Title'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Chip'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Year'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Developer'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Publisher'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mega Man X2 NA EU Rockman X2 JP'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'CX4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1994'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Capcom'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Capcom (NA) (JP) (EU)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mega Man X3 NA EU Rockman X3 JP'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'CX4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1995'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Capcom, Minakuchi Engineering'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Capcom (NA) (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Soukou Kihei Votoms: The Battling Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'DSP-1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1993'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Genki'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Takara (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Bike Daisuki! Hashiriya Kon - Rider's Spirits""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'DSP-1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1994'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Genki'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'NCS (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Final Stretch'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'DSP-1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1993'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Genki'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'LOZC (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lock On NA EU Super Air Diver JP'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'DSP-1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1993'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Copya System'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Vic Tokai (US) SunSoft (EU)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Michael Andretti's Indy Car Challenge""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'DSP-1/1A'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1994'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Genki'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bullet Proof Software (NA) (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pilotwings'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'DSP-1/1B'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1991'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nintendo EAD'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nintendo (NA) (JP) (EU)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Shutokō Battle '94: Keichii Tsuchiya Drift King""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'DSP-1B'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1994'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Genki'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bullet-Proof Software (JP)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Shutokō Battle 2: Drift King Keichii Tsuchiya & Masaaki Bandoh'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'DSP-1B'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1995'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Genki'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bullet-Proof Software (JP)'}"
