"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Year'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Award'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Organization'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Work'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Category'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Result'}"
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '2002'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Golden Gate Award'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'San Francisco Film Festival'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Derrida'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Documentary Feature'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Won'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Grand Jury Prize'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sundance Film Festival'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Documentary'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nominated'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jury Award'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Miami Gay and Lesbian Film Festival'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Outrage'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Best Documentary'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Won'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2010'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Emmy Award'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Academy of Television Arts and Sciences'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Outstanding Investigative Journalism: Long Form'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nominated'}",
"{'column_span': 1, 'is_header': False, 'row_span': 9, 'value': '2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Audience Award'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sundance Film Festival'}","{'column_span': 1, 'is_header': False, 'row_span': 17, 'value': 'The Invisible War'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Best Documentary'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Won'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nestor Almendros Award'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Human Rights Watch Film Festival'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Courage in Filmmaking'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Won'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Silver Heart Award'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dallas International Film Festival'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Humanitarian Award'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Won'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Audience Award'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Seattle International Film Festival'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Best Documentary'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Won'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Audience Award'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Provincetown International Film Festival'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Best Documentary Feature'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Won'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Best of Festival'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'DocuWest International Documentary Film Festival'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Humanitarian Award'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Won'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Advocacy Award'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Peace Over Violence'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Humanitarian Award'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Won'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'IDA Award'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'International Documentary Association'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Best Feature'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nominated'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Audience Award'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gotham Awards'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Audience Award'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nominated'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 6, 'value': '2013'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Spirit Award'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Film Independent'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Best Documentary'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Won'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Academy Award'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Academy of Motion Picture Arts and Sciences'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Best Documentary Feature'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nominated'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ridenhour Prize'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Nation Institute'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Documentary Film'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Won'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gracie Award'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Alliance for Women in Media'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Outstanding Producer – News/Non-Fiction'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Won'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Peabody Award'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Peabody Awards'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Won'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Impact Award'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'BRITDOC Foundation'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jury Special Commendation'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Won'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '2014'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Emmy Award'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'National Academy of Television Arts and Sciences'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Best Documentary Feature'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Won'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Outstanding Investigative Journalism – Long Form'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Won'}",,,,
