"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Res.'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Record'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Opponent'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Method'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Event'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Date'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Round'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Time'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Location'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Notes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Loss'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '23–18 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'A.J. Matthews'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Decision (split)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bellator 193'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'January 26, 2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5:00'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Temecula, California, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Loss'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '23–17 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'John Salter'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Technical Submission (rear-naked choke)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bellator 181'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 14, 2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4:37'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Thackerville, Oklahoma, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Loss'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '23–16 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Alexander Shlemenko'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TKO (punches)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bellator 162'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'October 21, 2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1:43'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Memphis, Tennessee, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Win'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '23–15 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Francisco France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'KO (punches)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bellator 150'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'February 26, 2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '0:35'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mulvane, Kansas, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Win'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '22–15 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Joey Beltran'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TKO (punches)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bellator 143'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'September 25, 2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2:27'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hidalgo, Texas, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Loss'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '21–15 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Brandon Halsey'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TKO (punches)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bellator 137'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'May 15, 2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2:25'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Temecula, California, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'For the Bellator Middleweight World Championship. Halsey missed weight (188 lbs) and was stripped of the championship and only Grove was eligible to win the title.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Win'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '21–14 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Christian M'Pumbu""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Submission (rear-naked choke)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bellator 127'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'October 3, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4:14'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Temecula, California, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Loss'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20–14 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Brett Cooper'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'KO (punches)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bellator 114'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 28, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3:33'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'West Valley City, Utah, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bellator Season Ten Middleweight Tournament Semifinal.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Win'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20–13 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Joe Vedepo'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Decision (unanimous)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bellator 104'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'October 18, 2013'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5:00'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Cedar Rapids, Iowa, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Win'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19–13 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Danny Mitchell'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TKO (punches)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'GWC: The British Invasion: US vs. UK'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'June 29, 2013'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4:53'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kansas City, Missouri, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Loss'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18–13 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Michal Materla'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Decision (unanimous)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'KSW 23'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'June 8, 2013'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5:00'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gdansk, Poland'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'for the KSW Middleweight Championship.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Loss'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18–12 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jesse Taylor'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Decision (unanimous)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'K-Oz Entertainment: Bragging Rights 5'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'February 23, 2013'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5:00'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Perth, Western Australia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'For the K-Oz Entertainment Middleweight Championship.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Loss'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18–11 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mamed Khalidov'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Submission (achilles lock)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'KSW 21'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'December 1, 2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1:31'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Warsaw, Poland'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Win'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18–10 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Chris Cisneros'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TKO (punches)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'RWE: Just Scrap 3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 10, 2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4:30'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Maui, Hawaii, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Win'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '17–10 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ariel Gandulla'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'TKO (punches)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'AFC 13: Natural Selection'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 3, 2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4:45'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Victoria, British Columbia, Canada'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Win'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16–10 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Joe Cronin'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Submission (D'Arce choke)""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'RWE: Just Scrap 2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'September 8, 2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1:20'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lahaina, Hawaii, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Win'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '15–10 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Derek Brunson'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Decision (split)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'ShoFight 20'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'June 16, 2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5:00'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Springfield, Missouri, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Won the ShoFight Middleweight Championship; 190 lb Catchweight (Brunson missed weight).'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Loss'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '14–10 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jay Silva'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Technical Submission (arm-triangle choke)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Superior Cage Combat 4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'February 16, 2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1:52'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Las Vegas, Nevada, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Win'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '14–9 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ikuhisa Minowa'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Decision (unanimous)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'ProElite 3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'January 21, 2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5:00'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Honolulu, Hawaii, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Win'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '13–9 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Joe Riggs'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Submission (guillotine choke)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'ProElite: Arlovski vs. Lopez'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'August 27, 2011'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '0:59'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Honolulu, Hawaii, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Loss'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12–9 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tim Boetsch'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Decision (unanimous)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'UFC 130'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'May 28, 2011'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5:00'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Las Vegas, Nevada, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Loss'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12–8 (1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Demian Maia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Decision (unanimous)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Ultimate Fighter: Team GSP vs. Team Koscheck Finale'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'December 4, 2010'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5:00'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Las Vegas, Nevada, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
