"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Rank'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Name'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Image'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Height ft / m'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Floors'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Year'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Notes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Xerox Tower'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Xerox Tower.JPG'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '443 / 135'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '30'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1968'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Third tallest building in New York outside of New York City'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Legacy Tower'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '401 / 122'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1995'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Formerly known as Bausch & Lomb Place. Only the spire makes it taller than The Metropolitan'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Metropolitan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '392 / 119'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '27'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1973'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Formerly known as Chase Tower, renamed and partially converted to residential.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kodak Tower'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '360 / 110'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1914'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Expanded in 1930 from 16 to 19 stories and tower'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'First Federal Plaza'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '309 / 94'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '21'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1976'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Five Star Bank Plaza'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '284 / 87'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '21'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1970'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Formerly known as One HSBC Plaza'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hyatt Regency Hotel'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '271 / 83'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '25'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1990'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Times Square Building'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '260 / 79'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '14'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1930'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tower 280'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '251 / 77'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1962 / 2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Once part of Midtown Plaza. Refitted into offices and residential units'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Saint Michael's Church""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""St. Michael's Church, Rochester, NY.JPG""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '246 / 75'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1890'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
