"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Event'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Record'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Athlete'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Date'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Meet'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Place'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Age'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Ref'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Video'}"
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '100m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9.97 (+1.8 m/s)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Trayvon Bromell'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'June 13, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'NCAA Division I Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Eugene, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18 years, 338 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 3, 'value': '200m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20.07 (+1.5 m/s)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lorenzo Daniel'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'May 18, 1985'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Starkville, Mississippi, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 years, 56 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20.09 (+1.6 m/s)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Noah Lyles'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 9, 2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Olympic Trials'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Eugene, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18 years, 357 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '400m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '43.87'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Steve Lewis'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'September 28, 1988'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Olympic Games'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South Korea Seoul, Korea'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 years, 135 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '[1]'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '800m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1:43.55'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Donavan Brazier'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'June 10, 2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'NCAA Division I Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Eugene, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 years, 56 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1500m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3:36.1+'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jim Ryun'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 17, 1966'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Berkeley, California United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 years, 79 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mile'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3:51.3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jim Ryun'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 17, 1966'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Berkeley, California United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 years, 79 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '3000m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7:58.0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gerry Lindgren'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 5, 1965'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Germany Karlsruhe, West Germany'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 years, 118 days'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
