"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Event'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Record'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Athlete'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Date'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Meet'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Place'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Ref'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '100 m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9.86 (-0.4 m/s)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Frankie Fredericks'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3 July 1996'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Athletissima'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Switzerland Lausanne, Switzerland'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '150 m (bend)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '14.99+ (+0.3 m/s)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Frankie Fredericks'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20 August 1993'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'World Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Germany Stuttgart, Germany'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '200 m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19.68 (+0.4 m/s)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Frankie Fredericks'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1 August 1996'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Olympic Games'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Atlanta, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '400 m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '46.14'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Daniel Haitembu'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '26 April 1980'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South Africa Bloemfontein, South Africa'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '800 m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1:46.62'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Daniel Nghipandulwa'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10 April 2011'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Yellow Pages South African Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South Africa Durban, South Africa'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1500 m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3:45.35'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Reinholdt Iita'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5 June 1998'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Finland Kotka, Finland'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3000 m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8:13.86'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ruben Indongo'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9 June 2004'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'France Saint-Maur, France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5000 m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '13:46.91'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Luketz Swartbooi'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12 March 1994'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Fullerton, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10000 m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '28:38.2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mynhardt Mbeumuna Kauanivi'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9 April 2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Namibia Swakopmund, Namibia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10 km (road)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '27:51'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Luketz Swartbooi'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '26 March 1994'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Mobile, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
