"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Rank'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Magnitude'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Death toll'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Location'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Depth (km)'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Date'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8.6'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Andreanof Islands, Alaska'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '25.0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 9'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8.1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '30'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mongolia Bayankhongor Province, Mongolia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '30.0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'December 4'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7.8'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Solomon Islands Santa Cruz Islands, Solomon Islands'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '123.6'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'December 17'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7.7'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bolivia Potosi Department, Bolivia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '232.5'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 29'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7.6'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '65'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mexico Guerrero, Mexico'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '37.8'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 28'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7.6'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Russia eastern Kamchatka, Russia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '147.8'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'October 27'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7.4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Russia Zabaykalsky Krai, Russia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '25.0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'June 27'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7.4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Fiji Fiji'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '586.6'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'September 28'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7.3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Turkey off the coast of Mugla Province, Turkey'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '35.0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'April 25'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7.2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Andreanof Islands, Alaska'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '25.0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 16'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7.2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Philippines southeast of Mindanao, Philippines'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '35.0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'September 24'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7.2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sea of Okhotsk'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '355.9'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 17'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7.1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Fox Islands (Alaska)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '35.0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 11'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7.1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Andreanof Islands, Alaska'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20.0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 12'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7.1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Andreanof Islands, Alaska'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '25.0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 14'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7.1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Fox Islands (Alaska)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '46.6'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 22'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7.1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Indonesia Banda Sea, Indonesia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '127.2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 23'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7.1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tonga Tonga'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20.0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'April 14'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7.1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Turkey off the coast of Mugla Province, Turkey'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '35.0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'April 24'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7.1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '500'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Turkey Duzce Province, Turkey'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '25.0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'May 26'}"
