"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Date time, TV'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Rank#'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Opponent#'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Result'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Record'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Site (attendance) city, state'}"
"{'column_span': 9, 'is_header': True, 'row_span': 1, 'value': 'Exhibition'}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 3, 2008* 7:00 pm, Time Warner'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Cal State Los Angeles'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'W 77–56'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Carrier Dome (10,257) Syracuse, New York'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 9, 2008* 2:00 pm, Time Warner'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Indiana PA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'W 103–58'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Carrier Dome (8,655) Syracuse, New York'}"
"{'column_span': 9, 'is_header': True, 'row_span': 1, 'value': 'Regular season'}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 16, 2008* 6:30 pm, ESPNU'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Le Moyne CBE Classic First Round'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'W 85–51'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1–0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Carrier Dome (16,755) Syracuse, New York'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 18, 2008* 6:00 pm, ESPNU'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Richmond CBE Classic Second Round'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'W 76–71'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2–0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Carrier Dome (16,260) Syracuse, New York'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 21, 2008* 7:00 pm, Time Warner'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Oakland'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'W 86–66'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3–0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Carrier Dome (18,932) Syracuse, New York'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 24, 2008* 6:30 pm, ESPN2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 17 Florida CBE Classic Semifinal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'W 89–83'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4–0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sprint Center (14,720) Kansas City, Missouri'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 25, 2008* 9:15 pm, ESPN2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 22 Kansas CBE Classic Final'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'W 89–81 OT'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5–0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sprint Center (16,988) Kansas City, Missouri'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 28, 2008* 7:00 pm, Time Warner'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Virginia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'W 73–70'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6–0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Carrier Dome (22,096) Syracuse, New York'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'December 1, 2008* 7:00 pm, Time Warner'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 16'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Colgate'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'W 86–51'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7–0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Carrier Dome (18,422) Syracuse, New York'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'December 3, 2008* 7:00 pm, Time Warner'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 16'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Cornell'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'W 88–78'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8–0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Carrier Dome (18,859) Syracuse, New York'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'December 13, 2008* 12:00 pm, ESPNU'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 13'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Long Beach State'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'W 79–55'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9–0'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Carrier Dome (17,224) Syracuse, New York'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'December 15, 2008* 7:00 pm, Time Warner'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 11'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Cleveland State'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'L 72–69'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9–1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Carrier Dome (15,416) Syracuse, New York'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'December 17, 2008* 7:00 pm, ESPNU'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 11'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Canisius'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'W 82–60'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10–1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Carrier Dome (16,262) Syracuse, New York'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'December 20, 2008* 6:00 pm, ESPN'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 11'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 23 Memphis'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'W 72–65'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '11–1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'FedExForum (17,091) Memphis, Tennessee'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'December 22, 2008* 7:00 pm, Time Warner'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 17'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Coppin State'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'W 82–71'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12–1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Carrier Dome (17,214) Syracuse, New York'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'December 30, 2008 7:00 pm, Big East Network'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 13'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Seton Hall'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'W 100–76'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '13–1 (1–0)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Carrier Dome (23,152) Syracuse, New York'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'January 2, 2009 8:30 pm, ESPN'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 13'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South Florida'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'W 59–54'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '14–1 (2–0)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USF Sun Dome (8,350) Tampa, Florida'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'January 7, 2009 7:00 pm, Big East Network'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 11'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'DePaul'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'W 85–68'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '15–1 (3–0)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Carrier Dome (17,296) Syracuse, New York'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'January 10, 2009 7:30 pm, Big East Network'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 11'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rutgers'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'W 82–66'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16–1 (4–0)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Louis Brown Athletic Center (8,079) Piscataway, New Jersey'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'January 14, 2009 7:30 pm, ESPN2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 8'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 13 Georgetown'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'L 88–74'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16–2 (4–1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Verizon Center (19,227) Washington, D.C.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'January 17, 2009 12:00 pm, ESPN'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 8'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 12 Notre Dame'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'W 93–74'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '17–2 (5–1)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Carrier Dome (30,021) Syracuse, New York'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'January 19, 2009 7:00 pm, ESPN'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 8'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 4 Pittsburgh'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'L 78–60'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '17–3 (5–2)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Petersen Events Center (12,508) Pittsburgh'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'January 25, 2009 12:00 pm, Big East Network'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 8'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 9 Louisville'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'L 67–57'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '17–4 (5–3)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Carrier Dome (25,721) Syracuse, New York'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'January 28, 2009 7:00 pm, Big East Network'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 15'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Providence'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'L 100–94'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '17–5 (5–4)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Dunkin' Donuts Center (10,873) Providence, Rhode Island""}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'February 4, 2009 7:00 pm, ESPN'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 20'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'West Virginia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'W 74–61'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18–5 (6–4)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Carrier Dome (21,069) Syracuse, New York'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'February 7, 2009 12:00 pm, ESPN'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 20'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'No. 17 Villanova'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'L 102–85'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18–6 (6–5)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Wachovia Center (20,390) Philadelphia'}"
