"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Date'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Name'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Notes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1813'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Friedrich Karl von Tettenborn (1778–1845)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Russian Colonel and diplomat ""Because the Lord has guided the restoration of the independence of Hamburg so fortunate and carried out the liberation of the Napoleonic occupation forces.""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1816'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gebhard Leberecht von Blücher (1742–1819)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Prussian field marshal ""The prince had stated to the Mayor, that it would be very glad to be rewarded with the citizenship.""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1826'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'August Otto Graf Grote (1747–1830)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Prussian Secret Council and diplomat to Hamburg ""On the recommendation of Counselor Büscher.""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1834'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'James Colquhoun (1780–1855)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hanseatic Consul General to London ""On the recommendation of Dr. Abendroth in terms of special achievements.""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1838'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Georg Michael Gramlich (1795–1880)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Merchant, Hanseatic diplomat to Venezuela ""Closure of a friendship, trade and navigation treaty with Venezuela on 27 May 1837.""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1843'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Johann Smidt (1773–1857)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mayor of Bremen ""Acknowledging the assistance after the Great Fire of Hamburg.""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1843'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Eduard Heinrich von Flottwell (1786–1865)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Prussian Secret Council ""Acknowledging the assistance after the Great Fire.""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1843'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Conrad Daniel Graf von Blücher-Altona (1764–1845)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Danish Secret Council and President of the city of Altona ""Acknowledging the assistance after the Great Fire.""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1843'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Heinrich Christoph Gottfried von Struve (1772–1851)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Russian Secret Council and diplomat to the Hanseatic cities ""On the occasion of his 50th anniversary o service and for his efforts in the promotion of science (founder of the science museum in Hamburg).""'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1871'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Otto von Bismarck (1815–1898)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Chancellor of the German Empire ""Services for the reborn and united German Fatherland""'}"
