"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'No.'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Artist'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Song'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Chart issue date'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Weeks at number one'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Ref.'}"
"{'column_span': 7, 'is_header': True, 'row_span': 1, 'value': '2013'}",,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'will.i.am and Britney Spears'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Scream & Shout""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'January 26, 2013'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '‡ Baauer'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Harlem Shake""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 2, 2013'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pitbull featuring Christina Aguilera'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Feel This Moment""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'April 27, 2013'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Psy'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Gentleman""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'May 4, 2013'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 're'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pitbull featuring Christina Aguilera'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Feel This Moment""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'May 11, 2013'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '5'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Icona Pop featuring Charli XCX'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""I Love It""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'May 18, 2013'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '6'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Daft Punk featuring Pharrell Williams'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Get Lucky""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'June 1, 2013'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '13'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '7'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lady Gaga'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Applause""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'August 31, 2013'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '8'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Avicii'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Wake Me Up""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'September 21, 2013'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '26'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 7, 'is_header': True, 'row_span': 1, 'value': '2014'}",,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '9'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Avicii'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Hey Brother""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 22, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '10'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Chainsmokers'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""#SELFIE""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 29, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '11'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '‡ DJ Snake and Lil Jon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Turn Down for What""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'April 12, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '12'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Calvin Harris'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Summer""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 5, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '13'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Disclosure featuring Sam Smith'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Latch""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'August 2, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '14'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ariana Grande featuring Zedd'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Break Free""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'August 30, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '15'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Clean Bandit featuring Jess Glynne'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Rather Be""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 1, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '16'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Calvin Harris featuring John Newman'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Blame""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 22, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '17'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mr. Probz and Robin Schulz'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Waves""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 29, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '11'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 7, 'is_header': True, 'row_span': 1, 'value': '2015'}",,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '18'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lilly Wood and the Prick and Robin Schulz'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Prayer in C""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'February 14, 2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '19'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Zedd featuring Selena Gomez'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""I Want You to Know""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 14, 2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 're'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lilly Wood and the Prick and Robin Schulz'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Prayer in C""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 21, 2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
