"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Name'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Hull number'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Builder'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Ordered'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Laid down'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Launched'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Commissioned'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Status'}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': 'Block I'}",,,,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Virginia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-774'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'General Dynamics Electric Boat, Groton'}","{'column_span': 1, 'is_header': False, 'row_span': 4, 'value': '30 September 1998'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2 September 1999'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16 August 2003'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '23 October 2004'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Active in service'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Texas'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-775'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Newport News Shipbuilding, Newport News'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12 July 2002'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9 April 2005'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9 September 2006'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Active in service'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hawaii'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-776'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'General Dynamics Electric Boat, Groton'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '27 August 2004'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '17 June 2006'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5 May 2007'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Active in service'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'North Carolina'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-777'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Newport News Shipbuilding, Newport News'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '22 May 2004'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5 May 2007'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3 May 2008'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Active in service'}",
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': 'Block II'}",,,,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'New Hampshire'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-778'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'General Dynamics Electric Boat, Groton'}","{'column_span': 1, 'is_header': False, 'row_span': 6, 'value': '14 August 2003'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '30 April 2007'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '21 February 2008'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '25 October 2008'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Active in service'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'New Mexico'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-779'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Newport News Shipbuilding, Newport News'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12 April 2008'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18 January 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '27 March 2010'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Active in service'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Missouri'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-780'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'General Dynamics Electric Boat, Groton'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '27 September 2008'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20 November 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '31 July 2010'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Active in service'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'California'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'SSN-781'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Huntington Ingalls Industries, Newport News'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1 May 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '14 November 2010'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '29 October 2011'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Active in service'}",
