"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'No. overall'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'No. in season'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Title'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Supervising direction by'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Written and storyboarded by'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Original air date'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Prod. code'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'US viewers (millions)'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '157'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Wake Up""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Elizabeth Ito'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Andy Ristaino & Cole Sanchez'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'April 21, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1025-166'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3.32'}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': ""Finn and Jake try to commit a cosmic crime to get into a multiverse prison called the Citadel, in which Finn's father is trapped.""}",,,,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '158'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Escape from the Citadel""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Adam Muto'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tom Herpich & Steve Wolfhard'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'April 21, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1025-163'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3.32'}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': ""Hitching a ride on the Lich's crystalized prison, Jake and Finn find the latter's father Martin (voiced by Stephen Root), who is not what Finn expected, as they are forced to flee when the Lich destroys the Citadel while putting the prisoners under his control to begin his plan of destruction.""}",,,,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '159'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""James II""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Elizabeth Ito'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Seo Kim & Somvilay Xayaphone'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'April 28, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1025-164'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2.03'}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': 'Finn and Jake learn that Clone James (voiced by Andy Merrill) has been faking his death in order to collect medals.'}",,,,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '160'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""The Tower""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Andres Salaff'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Tom Herpich & Steve Wolfhard'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'May 5, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1025-168'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2.10'}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': 'Finn is not happy with his replacement arms made by the princesses, and his emotional anguish manifests itself in the form of a telekinetic arm.'}",,,,,,,
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '161'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Sad Face""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Adam Muto'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Graham Falk'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'May 12, 2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1025-162'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1.77'}"
"{'column_span': 8, 'is_header': False, 'row_span': 1, 'value': ""With N.E.P.T.R. (voiced by Andy Milonakis) and BMO watching, Jake's tail goes to work at a traveling bug circus once every month when Jake is asleep.""}",,,,,,,
