"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Image'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Dates'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Name'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'DOD/Fate'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 July 1794 – 3 August 1794'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Jean-Marie Collot d'Herbois""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8 June 1796'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3 August 1794 – 18 August 1794'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Philippe Antoine Merlin, dit Merlin de Douai'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '26 December 1838'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18 August 1794 – 2 September 1794'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Antoine Merlin de Thionville'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '14 September 1833'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2 September 1794 – 22 September 1794'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'André Antoine Bernard, dit Bernard de Saintes'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 October 1818'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '22 September 1794 – 7 October 1794'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'André Dumont'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 October 1838'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7 October 1794 – 22 October 1794'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jean-Jacques-Régis de Cambacérès'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""8 March 1824 One of the few members of La Marais to be elected President Authored Napoleon's Civil Code""}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '22 October 1794 – 6 November 1794'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pierre-Louis Prieur, dit Prieur de la Marne'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '31 May 1827'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6 November 1794 – 24 November 1794'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Louis Legendre'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '13 December 1797, died of natural causes (dementia)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '24 November 1794 – 6 December 1794'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jean-Baptiste Clauzel'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6 December 1794 – 21 December 1794'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jean-François Reubell'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '23 November 1807'}"
