"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Date'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'First ...'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Mission'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Person(s)'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Country'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'June 20, 1944'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Artificial object in outer space, i.e. beyond the Kármán line'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'V-2 rocket, test flight'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '– N/A'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Germany'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'October 24, 1946'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pictures from space (105 km)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'U.S.-launched V-2 rocket from White Sands Missile Range, New Mexico.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '– N/A'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'February 20, 1947'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Animals in space'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'U.S.-launched V-2 rocket on 20 February 1947 from White Sands Missile Range, New Mexico.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'fruit flies'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'October 4, 1957'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Artificial satellite'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sputnik 1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '– N/A'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Soviet Union'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 3, 1957'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Animal in orbit'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sputnik 2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Laika the dog'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Soviet Union'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'January 2, 1959'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lunar flyby, and first spacecraft to achieve a heliocentric orbit'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Luna 1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '– N/A'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Soviet Union'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'September 12, 1959'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Impacted on the Lunar surface; thereby becoming the first human object to reach another celestial body'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Luna 2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '– N/A'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Soviet Union'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'October 7, 1959'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pictures of the far side of the Moon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Luna 3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '– N/A'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Soviet Union'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'April 12, 1961'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Human in space'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Vostok 1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Yuri Gagarin'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Soviet Union'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'May 5, 1961'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Manual orientation of manned spacecraft and first human space mission that landed with pilot still in spacecraft, thus the first complete human spaceflight by FAI definitions'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Freedom 7'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Alan Shepard'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States'}"
