"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Rank'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': ""Island's name""}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Area (km2)'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Area (sq mi)'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Country or countries'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Greenland'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2,130,800'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '822,700'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Greenland, forms part of the Danish Realm ( Denmark)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'New Guinea'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '785,753'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '303,381'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Indonesia (Papua and West Papua) and Papua New Guinea'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Borneo'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '748,168'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '288,869'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Indonesia (Central, East, North, South and West Kalimantan provinces), Malaysia (Sabah and Sarawak states) and Brunei'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Madagascar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '587,041'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '226,658'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Madagascar'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Baffin Island'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '507,451'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '195,928'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Canada (Nunavut)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sumatra'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '443,066'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '182,812'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Indonesia (Aceh, Bengkulu, Jambi, Lampung, Riau and North, South and West Sumatra provinces)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Honshu'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '225,800'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '87,200'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Japan (Chūbu, Chūgoku, Kansai, Kantō and Tōhoku regions)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Victoria Island'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '217,291'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '83,897'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Canada (Northwest Territories and Nunavut)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Great Britain'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '209,331'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '80,823'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United Kingdom (England, Scotland and Wales)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ellesmere Island'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '196,236'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '75,767'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Canada (Nunavut)'}"
