"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '#'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Event Title'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Date'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Arena'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Location'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '82'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'M-1 Ukraine: 2009 Selections 4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'December 24, 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Acco International Exhibition Center'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kiev, Kiev Oblast, Ukraine'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '81'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'M-1 Challenge 20: 2009 Finals'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'December 3, 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ice Palace Saint Petersburg'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Saint Petersburg, Leningrad Oblast, Russia'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '80'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'M-1 Ukraine: 2009 Selections 3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 29, 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Acco International Exhibition Center'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kiev, Ukraine'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '79'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'M-1 Ukraine: 2009 Selections 2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 12, 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Simferopol Circus'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Simferopol, Crimea, Ukraine'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '78'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'M-1 Challenge: 2009 Selections 9'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'November 3, 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'World Cinema Studio'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Saint Petersburg, Leningrad Oblast, Russia'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '77'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'M-1 Challenge: 2009 Selections 8'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'October 4, 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Moscow Martial Arts Center'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Moscow, Russia'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '76'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'M-1 Challenge: 2009 Selections 7'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'October 3, 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Moscow Martial Arts Center'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Moscow, Russia'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '75'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'M-1 Challenge 19: 2009 Semifinals'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'September 26, 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rostov-on-Don, Rostov Oblast, Russia'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '74'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'M-1 Ukraine: 2009 Selections 1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'September 20, 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Acco International Exhibition Center'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kiev, Kiev Oblast, Ukraine'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '73'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'M-1 Challenge: 2009 Selections 6'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'September 5, 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""President's Palace""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Makhachkala, Dagestan, Russia'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '72'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'M-1 Global: Breakthrough'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'August 28, 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Memorial Hall'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kansas City, Missouri, United States'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '71'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'M-1 Challenge 18: Netherlands Day Two'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'August 16, 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Studio 22'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hilversum, Netherlands'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '70'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'M-1 Challenge 18: Netherlands Day One'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'August 15, 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Studio 22'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hilversum, Netherlands'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '69'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'M-1 Challenge: 2009 Selections 5'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 22, 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Flying Dutchman'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Saint Petersburg, Leningrad Oblast, Russia'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '68'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'M-1: Donbas Open Mix Fight'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 4, 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sportmax Sports Complex'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Donetsk, Donetsk Oblast, Ukraine'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '67'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'M-1 Challenge 17: Korea'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 4, 2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Olympic Hall'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Seoul, South Korea'}"
