"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Name'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Reign'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Notes'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Otumfuo Nana Osei Tutu I'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1701–1717'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 4, 'is_header': False, 'row_span': 1, 'value': 'Regent 1717 to 1720 Amaniampon, the mamponghene'}",,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Otumfuo Nana Opoku Ware Katakyie'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1720–1750'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Otumfuo Nana Kusi Oboadum'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1750–1764'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Forced to abdicate.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 4, 'is_header': False, 'row_span': 1, 'value': 'Regent 1764 Safo Kantanka, the mamponghene'}",,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Otumfuo Nana Osei Kwadwo Okoawia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1764–1777'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 4, 'is_header': False, 'row_span': 1, 'value': 'Regent 1777 Atakora Kwame, the mamponghene'}",,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Osei Kwame Panyin'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1777–1803'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Otumfuo Nana Opoku Fofie'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'December 1803–March 1804'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Osei Tutu Kwame Asiba'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1804–21 January 1824'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Known as Otumfuo Nana Osei Tutu Kwame Asiba Bonsu from 1807.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
