"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Year'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Date'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'City'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Country'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Venue'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Concerts'}"
"{'column_span': 1, 'is_header': False, 'row_span': 4, 'value': '2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 July'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Osaka'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Japan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Grand Cube Osaka'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Happy Summer Vacation with BTOB'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '21 July'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Chiba'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Maihama Amphitheater'}",,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '31 October'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Seoul'}","{'column_span': 1, 'is_header': False, 'row_span': 16, 'value': 'Korea'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Olympic Hall'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '1st Concert: Hello Melody in Seoul'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1 November'}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 3, 'value': '2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4 April'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Busan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'KBS Busan Hall'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1st Concert: Hello Melody in Busan'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 December'}","{'column_span': 1, 'is_header': False, 'row_span': 8, 'value': 'Seoul'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Jangchung Arena'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '2nd Concert: Born to Beat Time'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20 December'}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '27 March'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Jamsil Arena'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Born to Beat Time: Encore Concert'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '28 March'}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 4, 'value': '2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '21 January'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'SK Olympic Handball Gymnasium'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Born to Beat Time: TIME Concert'}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '22 January'}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '23 December'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Ilsan KINTEX Exhibition Hall'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'BTOB Time – Our Concert'}",,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '24 December'}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 8, 'value': '2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '24 February'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Busan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Busan Exhibition and Convention Center'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'BTOB Time – Our Concert in Busan'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1 March'}","{'column_span': 1, 'is_header': False, 'row_span': 4, 'value': 'Seoul'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Yes 24 Live Hall'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""I'll Be Your Melody - Missing You Melody""}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10 August'}","{'column_span': 1, 'is_header': False, 'row_span': 3, 'value': 'Olympic Gymnastics Arena'}","{'column_span': 1, 'is_header': False, 'row_span': 3, 'value': 'BTOB Time – This Is Us'}",,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '11 August'}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12 August'}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8 September'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'New Taipei City'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Taiwan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hsing Chuang Gymnasium'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'BTOB Time – This Is Us In Taiwan'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '21 September'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jakarta'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Indonesia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Kasablanka'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'BTOB In Jakarta by MyMusicTaste'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '14 October'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bangkok'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Thailand'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Chaengwattana Hall'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'BTOB Time – This Is Us In Bangkok'}",
