"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Campaign'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Year'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Army strength at the beginning of campaign'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Major Battles'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Peninsula Campaign'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1862'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '55,633'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Seven Pines (Fair Oaks)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Seven Days Battles'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1862'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'approx. 92,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Gaines' Mill, Malvern Hill""}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Northern Virginia Campaign'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1862'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'approx. 54,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Second Bull Run (Second Manassas)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Maryland Campaign'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1862'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'approx. 60,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Antietam (Sharpsburg)'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Fredericksburg Campaign'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1862'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'approx. 75,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Fredericksburg'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Chancellorsville Campaign'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1863'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'approx. 75,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Chancellorsville'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gettysburg Campaign'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1863'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '75,054'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gettysburg'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bristoe Campaign'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1863'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '55,221'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mine Run Campaign'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1863'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'approx. 50,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Overland Campaign'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1864'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '62,230'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Wilderness, Spotsylvania Court House, Cold Harbor'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Richmond–Petersburg Campaign'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1864–1865'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '82,633'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Siege of Petersburg, including the Battle of the Crater'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Appomattox Campaign Surrendered'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1865'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'around 50,000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Five Forks, Battle of Appomattox Court House'}"
