"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Year'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Show'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Role'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Channel'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Co-Star'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2010'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mahi Way'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Shiv Deshraj'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sony Entertainment Television (India)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pushtiie Shakti'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2010'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rishta.com'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Arjun Khanna(cameo)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sony Entertainment Television (India)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Shruti Seth'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2011'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kismat'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Aditya Raj Merchant'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sony Entertainment Television (India)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Khalida Turi'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Teri Meri Love Stories'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Shreshth Kashyap'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Star Plus'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Shilpa Anand'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2013–2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ek Boond Ishq'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mrityunjay Singh Shekhawat'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Life OK'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Chhavi Pandey'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hunnarbaaz Season 2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Host'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'DD National'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2016-2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Naamkarann'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ashish Mehta'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Star Plus'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Barkha Bisht'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MTV Big F S2E06'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Samrat S.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MTV'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Charu Mehra'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Showbiz with Vahbiz E09'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Guest'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Indian Wiki Media'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Freddy Daruwala'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '13 Mussoorie'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rishi Pant'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Viu'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Shriya Pilgaonkar'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Laal Ishq E38'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Amar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '&TV'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Debina Bonnerjee'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Flip E03 - ""Massage""'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Navzar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Eros Now'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sandeepa Dhar'}"
