"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Year'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Title'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Role'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Director'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Notes'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1982'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Privates on Parade'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Flight Sergeant Kevin Cartwright'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Michael Blakemore'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Based on the Peter Nichols play Privates on Parade'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1983'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Keep'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Border Guard #2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Michael Mann'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Based on F. Paul Wilson's 1981 novel The Keep""}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1984'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Oxford Blues'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Peter Howles'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Robert Boris'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'A remake of the 1938 film A Yank at Oxford'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1985'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Billy the Kid and the Green Baize Vampire'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'T.O. (The One)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Alan Clarke'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Loosely based on the rivalry between the snooker players Ray Reardon and Jimmy White'}"
"{'column_span': 1, 'is_header': False, 'row_span': 3, 'value': '1986'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Absolute Beginners'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Flikker'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Julien Temple'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Based on Colin MacInnes 1959 novel Absolute Beginners'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Smart Money'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lawrance MacNiece'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bernard Rose'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Solarbabies'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dogger'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Alan Johnson'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '1988'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Fruit Machine or Wonderland'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Echo'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Philip Saville'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Speaks not a word of dialogue as the film's primary nemesis""}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Caprice'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Vendor'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Joanna Hogg'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '1989'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'For Queen and Country'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Colin'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Martin Stellman'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Zwei Frauen or Silence Like Glass'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Doctor Burton'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Carl Schenkel'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 3, 'value': '1991'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pyrates'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liam'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Noah Stern'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Howling VI: The Freaks'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'R.B Harker'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hope Perello'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Loosely based on The Howling novels by Gary Brandner'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Switch'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Devil'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Blake Edwards'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Based on George Axelrod's play Goodbye Charlie""}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1992'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Passenger 57'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Charles Rane'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kevin Hooks'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1993'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Full Eclipse'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Adam Garou'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Anthony Hickox'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '1994'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Cisco Kid'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'General Martin Dupre'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Luis Valdez'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Based on the character created by O. Henry in his 1907 short story The Caballero's Way""}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Necronomicon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Edward De Lapoer'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Christophe Gans'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Part 1 The Drowned. Loosely based on H. P. Lovecraft's short story The Rats in the Walls""}",
