"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Current, official name'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Former, English name(s)'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Note'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Changkat Raja Chulan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hicks Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Named after F. B Hicks, Secretary of the Selangor Planters Association.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Changkat Thambi Dollah'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'This road was named as such as it formerly led into Kampong Dollah.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Abdul Rahim Kajai'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Named after Abdul Rahim bin Haji Salim, the Father of Malay Journalism. His pen name was Abdul Rahim Kajai.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Alor'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Running parallel to Jalan Bukit Bintang, Jalan Alor is today best known for its wide variety of street food. Formerly known as the red light district of KL.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Aminuddin Baki'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Named after Aminuddin bin Baki, Father of Modern Education in Malaysia. Located at Taman Tun Dr Ismail.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Ampang Hilir'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Athinahapan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Named after Tan Sri Athi Nahappan, former Malaysian Minister and Deputy of MIC party. Located at Taman Tun Dr Ismail.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Balai Polis'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Station Street (1960)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Named after the Old High Street Police Station, a (partially demolished) police station in the vicinity. The road, which previously connected Petaling Street and High Street, was partially dismantled, cutting off the road from the latter.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Belfield'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Belfield Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Named after British Resident of Negri Sembilan, Henry Conway Belfield, (1901–1902), British Resident of Selangor, (1902–1910), who was also British Resident of Perak, (1910–1912).'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hose Road (part of) (1960)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'It should be noted that both Jalan Belfield and Jalan Hose have existed as early as 1960, and that the name of the latter is still retained for both roads.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Bellamy'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bellamy Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Named after H.F. Bellamy, the Superintedent of Selangor Public Works Department.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Berhala'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Kandang Kerbau'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Berhala is literally translated from Malay to English as idols. Many Buddhist and Hindu Temples are located along this road.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Bukit Aman'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bluff Road (1960)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Currently named after Bukit Aman (Peace Hill), connecting the headquarters of the Royal Malaysian Police on the hill with Jalan Sultan Hishamuddin.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Bukit Petaling'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bellamy Road (half)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Named after H.F. Bellamy, the Superintendent of Selangor Public Works Department.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Bukit Tunku'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Bukit Kenny'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Burhanuddin Helmi'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Located at Taman Tun Dr Ismail.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Carutthers'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Carutthers Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Named after John Bennett Carruthers, first Director of Agriculture and Government Botanist of the FMS. Road led to the quarters and property of the Agriculture Dept.'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jalan Cenderasari'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hospital Road, Young Road (1960), Tanglin Road'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '""Hospital Road"" was derived from the presence of the Tangling Hospital up the hill, and Young Road was named after Sir Arthur Henderson Young, the British High Commissioner in Malaya.'}"
