"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Event'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Record'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Athlete'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Nationality'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Date'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Meet'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Place'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Ref'}"
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '500 meters'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '34.66'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Laurent Dubreuil'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Canada'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '22 January 2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'World Cup'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Salt Lake City, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Chung Jae-woong'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South Korea'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9 March 2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'World Junior Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Salt Lake City, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '500 meters × 2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '70.784'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kim Jun-ho'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South Korea'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '15 February 2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'World Single Distance Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Netherlands Heerenveen, Netherlands'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1000 meters'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1:07.76'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Koki Kubo'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Japan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10 March 2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'World Junior Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Salt Lake City, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1500 meters'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1:43.13'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Allan Dahl Johansson'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Norway'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3 December 2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'World Cup'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Canada Calgary, Canada'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3000 meters'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3:40.14'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Allan Dahl Johansson'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Norway'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2 March 2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Junior World Cup Final'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Salt Lake City, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5000 meters'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6:18.93'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Håvard Bøkko'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Norway'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '13 November 2005'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'World Cup'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Canada Calgary, Canada'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Team sprint (3 laps)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1:20.46'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Park Seong-hyeon Chung Jae-woong Kim Min-seok'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South Korea'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10 March 2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'World Junior Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Salt Lake City, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Team pursuit (8 laps)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3.43.55'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lee Do-hyung Kim Min-seok Chung Jae-won'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South Korea'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '11 March 2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'World Junior Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'United States Salt Lake City, United States'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sprint combination'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '139.750 pts'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Beorn Nijenhuis'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Netherlands'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18–19 January 2003'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'World Sprint Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Canada Calgary, Canada'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
