"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Acronym and Name'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'National coalition'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Leader or Chairman'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': ""People's Representatives""}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Political Position'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Ideology'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MoDem: Democratic Movement'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'None'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'François Bayrou'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:42 / 577Senate: 6 / 348 European Parliament: 4 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 1 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Centre to Centre-right'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Centrism, Liberalism, Social liberalism, Christian democracy'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'FI: La France Insoumise'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'None'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jean-Luc Mélenchon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:17 / 577Senate: 0 / 348 European Parliament: 0 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 0 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Left-wing to far-left'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Democratic socialism, Eco-socialism, Left-wing populism, Environmentalism, Alter-globalisation, Soft Euroscepticism'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'PCF: French Communist Party'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Left Front'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pierre Laurent'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:10 / 577Senate: 18 / 348 European Parliament: 1 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 1 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Far-left'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Communism'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'RN: National Rally including Jeanne (party)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rassemblement bleu Marine'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Marine Le Pen'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:8 / 577Senate: 2 / 348 European Parliament: 22 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 0 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Right-wing to Far-right'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'French nationalism, National conservatism, Souverainism, Protectionism, Right-wing populism, Anti-immigration, Hard Euroscepticism'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MR: Radical Movement'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'None'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Laurent Hénart Sylvia Pinel'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:10 / 577Senate: 19 / 348 European Parliament: 2 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 0 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Centre'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liberalism, Social liberalism, Pro-Europeanism'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'LC: The Centrists'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Union of Democrats and Independents'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hervé Morin'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:5 / 577Senate: 9 / 348 European Parliament: 0 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 0 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Centre to Centre-right'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Centrism, Conservative liberalism, Christian democracy'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'FED: Democratic European Force'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Union of Democrats and Independents'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jean-Christophe Lagarde'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:2 / 577Senate: 4 / 348 European Parliament: 0 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 0 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Centre-right'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Centrism, Social liberalism, Pro-Europeanism, Christian democracy'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'LGM: Modern Left'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Union of Democrats and Independents'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jean-Marie Bockel'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:0 / 577Senate: 1 / 348 European Parliament: 0 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 0 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Centre'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Social liberalism'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'MdP: Movement of Progressives'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'None'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Robert Hue'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:1 / 577Senate: 1 / 348 European Parliament: 0 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 0 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Left-wing'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Democratic socialism'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'DLF: Debout la France'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'None'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nicolas Dupont-Aignan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'National Assembly:1 / 577Senate: 0 / 348 European Parliament: 0 / 74 Presidency of Regional Councils: 0 / 17 Presidency of Departmental Councils: 0 / 101'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Right-wing'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'French nationalism, National conservatism, Gaullism, Republicanism, Souverainism, Social conservatism, Euroscepticism'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
