"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'No.'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Champions'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Reign'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Date'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Days held'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Location'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Event'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Notes'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Ref(s)'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Chris and John Tolos'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'February 16, 1965 (NLT)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Live event'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Records are unclear on how the Tolos brothers won the championship, listed as ""having recently won"" in a Detroit newspaper on this day'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Barend, JohnnyJohnny Barend and Magnificent Maurice'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'March 5, 1965'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Live event'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Brazil, BoboBobo Brazil and Sailor Art Thomas'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1960s'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Live event'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '4'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nikolai and Boris Volkoff'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1960s'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Live event'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '5'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Curry, FredFred Curry and Billy Red Lyons'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'April 28, 196 (NLT)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Live event'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '#'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Internationals (Al Costello and Karl Von Brauner)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '#'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'May 12, 1967 (NLT)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '#'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Live event'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'This championship change was only recognized in Ohio, not Detroit. Possible that this was supposed to start a separate Ohio lineage.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '#'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bill Miller and Dan Miller'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '#'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 13, 1967'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '#'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Columbus, Ohio'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Live event'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '#'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Fabulous Kangaroos, TheThe Fabulous Kangaroos (Al Costello and Ray St. Cair)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '#'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'July 28, 1967 (NLT)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '#'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Live event'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Ohio branch was not mentioned after August, 1967, Cury and Lyons were recognized as champions in Detroit for this period of time'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '6'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Fabulous Kangaroos, TheThe Fabulous Kangaroos (Al Costello and Ray St. Clair)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1960s'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Live event'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '7'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Curry, FredFred Curry (2) and Dan Miller'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1968'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Live event'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
