"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Title'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Director'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Cast'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Genre'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Sources'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Aao Pyaar Karen'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Prakash Mehra'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Benjamin Gilani, Radhika Barkatke, Amrit Patel'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Romance'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Achha Bura'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hrishikesh Mukherjee'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Raj Babbar, Anita Raj, Amjad Khan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bollywood, World Cinema'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Agar Tum Na Hote'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lekh Tandon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rajesh Khanna, Rekha, Raj Babbar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Drama, Family'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Agent 123'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gita Priya'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Baby Indira, Master Ram Krishna, Bhanu Prakash'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Thriller'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Andha Kanoon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'T. Rama Rao'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rajnikanth, Hema Malini, Reena Roy, Amitabh Bachchan, Pran'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Drama'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ardh Satya'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Govind Nihalani'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Om Puri, Smita Patil, Amrish Puri, Sadashiv Amrapurkar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Crime, Drama'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Arohan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Shyam Benegal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Victor Banerjee, Noni Ganguly, Pankaj Kapur'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Drama'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Arpan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'J. Om Prakash'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jeetendra, Reena Roy, Parveen Babi'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Drama, Family'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ashray'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Biplab Roy Chowdhury'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Avtaar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mohan Kumar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rajesh Khanna, Shabana Azmi, Sachin, Gulshan Grover, A. K. Hangal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Family, Drama'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bade Dil Wala'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bhappi Sonie'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rishi Kapoor, Tina Munim, Sarika, Pran'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Drama, Action, Crime, Family, Romance'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bandhan Kuchchey Dhaagon Ka'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Anil Sharma'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Shashi Kapoor, Zeenat Aman, Raakhee Gulzar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Drama, Family'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bekaraar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rajendra Prasad V.B.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Asrani, Mohnish Bahl, Mohan Choti'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bekhabar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kedar Kapoor'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Betaab'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rahul Rawail'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sunny Deol, Amrita Singh, Shammi Kapoor, Prem Chopra'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Romance'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Chatpati'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'V. Ravindra'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Smita Patil, Raj Kiran, Reema Lagoo'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Comedy'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Chor Police'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Amjad Khan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Shatrughan Sinha, Parveen Babi, Vinod Mehra, Shakti Kapoor, Ashok Kumar'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Action, Crime, Drama'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Coolie'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Manmohan Desai'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Amitabh Bachchan, Waheeda Rehman, Rishi Kapoor, Rati Agnihotri, Kadar Khan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Action'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dard-E-Dil'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Suraj Prakash'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mukesh Khanna, Zarina Wahab, Shashikala'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Action'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Daulat Ke Dushman'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Bimal Rawal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Shatrughan Sinha, Vinod Khanna, Manjushree, Pran'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Action'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dhat Tere... Ki'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Meraj'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ravi Baswani, Abhi Bhattacharya, Akhil Mishra'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Do Gulab'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Durai'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Vijay Arora, Rakesh Bedi, Dilip Dhawan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Drama, Romance'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Doosri Dulhan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lekh Tandon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Victor Banerjee, Sharmila Tagore, Shabana Azmi'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Drama, Family'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Du-Janay'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ardhendu Chatterjee'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
