"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Year'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Winner'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Second'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Third'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Fourth'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Fifth'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Other nominees'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2010'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ellie Goulding'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Marina and the Diamonds'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Delphic'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hurts'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Drums'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Daisy Dares You, Devlin, Everything Everything, Giggs, Gold Panda, Joy Orbison, Owl City, Rox, Stornoway, Two Door Cinema Club'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2011'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jessie J'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'James Blake'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'The Vaccines'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jamie Woon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Clare Maguire'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Anna Calvi, Daley, Esben and the Witch, Jai Paul, MONA, NERO, The Naked and Famous, Warpaint, Wretch 32, Yuck'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Michael Kiwanuka'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Frank Ocean'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Azealia Banks'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Skrillex'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Niki & The Dove'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'ASAP Rocky, Dot Rotten, Dry the River, Flux Pavilion, Friends, Jamie N Commons, Lianne La Havas, Ren Harvieu, Spector, Stooshe'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2013'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'HAIM'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'AlunaGeorge'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Angel Haze'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Laura Mvula'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'CHVRCHΞS'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'A*M*E, Arlissa, King Krule, Kodaline, Little Green Cars, Palma Violets, Peace, Savages, The Weeknd, Tom Odell'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2014'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sam Smith'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ella Eyre'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'BANKS'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sampha'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'George Ezra'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Chance The Rapper, Chlöe Howl, FKA twigs, Jungle, Kelela, Luke Sital-Singh, MNEK, Nick Mulvey, Royal Blood, Say Lou Lou'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Years & Years'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'James Bay'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Stormzy'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Raury'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'George the Poet'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kwabs, Låpsley, Novelist, Rae Morris, Shamir, Shura, Slaves, SOAK, Sunset Sons, Wolf Alice'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2016'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jack Garratt'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Alessia Cara'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'NAO'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Blossoms'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mura Masa, WSTRN'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Billie Marten, Dua Lipa, Frances, Izzy Bizu, J Hus, Loyle Carner, Mabel, RAT BOY, Section Boyz'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2017'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Ray BLK'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Rag'n'Bone Man""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'RAYE'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jorja Smith'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nadia Rose'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'AJ Tracey, Anderson .Paak, Cabbage, Dave, Declan McKenna, Maggie Rogers, Stefflon Don, The Amazons, The Japanese House, Tom Grennan'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Sigrid'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rex Orange County'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'IAMDDB'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Khalid'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pale Waves'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'ALMA, Billie Eilish, Jade Bird, Lewis Capaldi, Nilüfer Yanya, Not3s, Sam Fender, Superorganism, Tom Walker, Yaeji, Yxng Bane'}"
"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Octavian'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'King Princess'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Grace Carter'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'slowthai'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'ROSALÍA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Dermot Kennedy, Ella Mai, FLOHIO, Mahalia, Sea Girls'}"
