"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Inventor'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '# of patents'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Country'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Active'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Main fields of invention'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Ref'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Shunpei Yamazaki'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5426'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Japan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1976-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Thin film transistors, Liquid crystal displays, Solar cells, Flash memory, OLED'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kia Silverbrook'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4747'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Australia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1994-2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Printing, Digital paper, Internet, Electronics, CGI, Chemical, DNA, Lab-on-a-chip, MEMS, Mechanical, VLSI'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lowell L. Wood, Jr.'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1848'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1977-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Various'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Roderick A. Hyde'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1748'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2001-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Various'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kangguo Cheng'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1741'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2004-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Semiconductor device fabrication, Semiconductor memory, Semiconductor device'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Jun Koyama'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1372'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Japan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1991-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Thin film transistors, Liquid crystal displays, OLED'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Gurtej Sandhu'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1315'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'India'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1991-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Thin film processes and materials, VLSI, Semiconductor device fabrication'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Paul Lapstun'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1288'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Australia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2000-2018'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Printing, Digital paper, Internet, Electronics, CGI, VLSI'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Clarence T. Tegreene'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1152'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2000-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Various'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Leonard Forbes'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1106'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Canada'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1991-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Semiconductor Memories, CCDs, Thin film processes and materials, VLSI'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Thomas Edison'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1084'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1847(b)-1931(d)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Electric power, Lighting, Batteries, Phonograph, Cement, Telegraphy, Mining'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Edward K. Y. Jung'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1052'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'USA'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1996-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Various'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Shou-Shan Fan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'China'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2006-2019'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Carbon nanotubes and their applications'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
