"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Portrait'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Name'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Entered office'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Left office'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Political party'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Prime Minister'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Refs'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Alejandro de Castro y Casal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '31 December 1874'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12 September 1875'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Conservative'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Antonio Cánovas del Castillo'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Emilio Alcalá-Galiano The Count of Casa Valencia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12 September 1875'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '29 November 1875'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Conservative'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Joaquín Jovellar y Soler'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Fernando Calderón de la Barca y Collantes Marquis of Reinosa from 1878'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2 December 1875 (Acting from 29 November)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '14 January 1877'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Conservative'}","{'column_span': 1, 'is_header': False, 'row_span': 3, 'value': 'Antonio Cánovas del Castillo'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Manuel Silvela de Le Vielleuze.JPG'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Manuel Silvela y Le Vielleuze'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '14 January 1877'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7 March 1879'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Conservative'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Anonimo-francisco de borja queipo.JPG'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Francisco de Borja Queipo de Llano The Count of Toreno Acting'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7 March 1879'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10 March 1879'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Conservative'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Mariano Roca de Togores The Marquis of Molíns'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10 March 1879'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16 May 1879'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Conservative'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Arsenio Martínez-Campos y Antón'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Carlos O'Donnell The Duke of Tetuan""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16 May 1879'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9 December 1879'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Conservative'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Anonimo-francisco de borja queipo.JPG'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Francisco de Borja Queipo de Llano The Count of Toreno'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9 December 1879'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20 January 1880'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Conservative'}","{'column_span': 1, 'is_header': False, 'row_span': 3, 'value': 'Antonio Cánovas del Castillo'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Antonio Cánovas del Castillo Acting'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20 January 1880'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 March 1880'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Conservative'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'José de Elduayen The Marquis of the Pazo de la Merced'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 March 1880'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8 February 1881'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Conservative'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}",
