"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Name'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Lifespan'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Reign start'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Reign end'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Notes'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Family'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Image'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Karl I'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '30 July 1569 – 12 February 1627 (aged 57)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20 December 1608'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12 February 1627 (18 years, 54 days)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '—'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liechtenstein'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Karl I of Liechtenstein'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Karl Eusebius'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '11 April 1611 – 5 April 1684 (aged 72)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12 February 1627'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5 April 1684 (57 years, 53 days)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Son of Karl I'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liechtenstein'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Karl Eusebius of Liechtenstein'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hans-Adam I'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16 August 1662 – 16 June 1712 (aged 49)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5 April 1684'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16 June 1712 (28 years, 72 days)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Son of Karl Eusebius'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liechtenstein'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Hans-Adam I of Liechtenstein'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Josef Wenzel I'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9 August 1696 – 10 February 1772 (aged 75)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16 June 1712'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12 March 1718 (5 years, 269 days)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Great-grandnephew of Karl I'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liechtenstein'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Josef Wenzel I of Liechtenstein'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Anton Florian'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '28 May 1656 – 11 October 1721 (aged 65)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12 March 1718'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '11 October 1721 (3 years, 213 days)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Uncle of Josef Wenzel I'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liechtenstein'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Anton Florian of Liechtenstein'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Josef Johann Adam'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '25 May 1690 – 17 December 1732 (aged 42)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '11 October 1721'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '17 December 1732 (11 years, 67 days)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Son of Anton Florian'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liechtenstein'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Josef Johann Adam of Liechtenstein'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Johann Nepomuk Karl'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6 July 1724 – 22 December 1748 (aged 24)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '17 December 1732'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '22 December 1748 (16 years, 5 days)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Son of Josef Johann Adam'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liechtenstein'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Johann Nepomuk Karl of Liechtenstein'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Josef Wenzel I'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9 August 1696 – 10 February 1772 (aged 75)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '22 December 1748'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10 February 1772 (23 years, 50 days)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Great-grandnephew of Karl I'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liechtenstein'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Josef Wenzel I of Liechtenstein'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Franz Josef I'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 November 1726 – 18 August 1781 (aged 54)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10 February 1772'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18 August 1781 (9 years, 189 days)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nephew of Josef Wenzel I'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liechtenstein'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Franz Josef I of Liechtenstein'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Aloys I'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '14 May 1759 – 24 March 1805 (aged 45)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18 August 1781'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '24 March 1805 (23 years, 218 days)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Son of Franz Joseph I'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liechtenstein'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Aloys I of Liechtenstein'}"
