"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Political party'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Flag'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Seats Contested'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Won'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': '% of Seats'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Votes'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Vote %'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Govt. Formation'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Indian National Congress'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '367'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '152'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '40.53'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '69,88,701'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '34.88'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Leading Party'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Socialist Party'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '163'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '13'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3.47'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12,99,282'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6.48'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Kisan Mazdoor Praja Party'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '148'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '35'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9.33'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '18,03,377'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9.00'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '**Full support'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Communist Party of India'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '131'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '62'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '16.53'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '26,40,337'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '13.18'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Krishikar Lok Party#'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '63'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '15'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4.00'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6,29,893'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3.14'}","{'column_span': 1, 'is_header': False, 'row_span': 4, 'value': '*Outside support, joined the cabinet in 1954'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Scheduled Castes Federation'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '37'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '0.53'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3,39,680'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1.70'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ""Tamil Nadu Toilers' Party*""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '34'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5.07'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8,52,330'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4.25'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Commonweal Party**'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '13'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1.60'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2,18,288'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1.09'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Madras State Muslim League Party**'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '13'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1.33'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1,86,546'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '0.93'}","{'column_span': 1, 'is_header': False, 'row_span': 4, 'value': '#3 KLP legislators and 15 Independents joined Congress'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Justice Party'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': ''}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '0.27'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '82,231'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '0.41'}",
