"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Year'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Competition'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Venue'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Position'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Event'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Notes'}"
"{'column_span': 6, 'is_header': True, 'row_span': 1, 'value': 'Representing Brazil'}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '1996'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'South American Youth Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Asunción, Paraguay'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '300 m hurdles'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '44.43 s'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1st'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4 × 400 m relay'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3:49.67 min'}",,,
"{'column_span': 1, 'is_header': False, 'row_span': 3, 'value': '1998'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South American Cross Country Championships - Junior'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Artur Nogueira, Brazil'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6 km'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '24:37'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'World Cross Country Championships – Junior'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Marrakech, Morocco'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '108th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6 km'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '25:16'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Saint Silvester Road Race'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'São Paulo, Brazil'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '32nd'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '15 km'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1:01:26'}",
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '1999'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South American Cross Country Championships - Junior'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Artur Nogueira, Brazil'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6 km'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '24:26'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South American Junior Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Concepción, Chile'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5000 m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '17:41.82'}",
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '2000'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South American Cross Country Championships - Junior'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Cartagena, Colombia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '4th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6 km'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '23:11'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'World Cross Country Championships - Junior'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Vilamoura, Portugal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '115th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6.29 km'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '25:37'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2001'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South American Cross Country Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Rio de Janeiro, Brazil'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '11th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8 km'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '30:19'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2004'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'World Half Marathon Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'New Delhi, India'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '39th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Half marathon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1:19:49'}"
"{'column_span': 1, 'is_header': False, 'row_span': 4, 'value': '2009'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South American Cross Country Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Concepción, Chile'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8 km'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '29:26'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'World Cross Country Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Amman, Jordan'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '82nd'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8 km'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '31:40'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lusophony Games'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Lisbon, Portugal'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '3rd'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10 km (road)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '35:36'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'World Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Berlin, Germany'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '42nd'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Marathon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2:40:54'}",
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '2010'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'World Half Marathon Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Nanning, China'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '25th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Half marathon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1:14:24'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Berlin Marathon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Berlin, Germany'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Marathon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2:32:30'}",
"{'column_span': 1, 'is_header': False, 'row_span': 3, 'value': '2011'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South American Cross Country Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Asunción, Paraguay'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '6th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8 km'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '28:17.8'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South American Half Marathon Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Buenos Aires, Argentina'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1st'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Half marathon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1:13:16'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pan American Games'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Guadalajara, México'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1st'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Marathon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2:36:37'}",
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '2012'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Olympic Games'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'London, United Kingdom'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '47th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Marathon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2:33:15'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South American Half Marathon Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Asunción, Paraguay'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1st'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Half marathon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1:17:50'}",
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2013'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'South American Championships'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Cartagena, Colombia'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10,000 m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '36:19.37'}"
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '2014'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'South American Games'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Santiago, Chile'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5000 m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '17:20.94'}"
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '8th'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '10,000 m'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '36:19.37'}",,,
"{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2015'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Pan American Games'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Toronto, Ontario, Canada'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1st'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Marathon'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '2:35:40'}"
