"{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'No.'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Portrait'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Name (Birth–Death) District'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Term of office'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Electoral mandates (Assembly)'}","{'column_span': 1, 'is_header': True, 'row_span': 1, 'value': 'Political party'}"
"{'column_span': 7, 'is_header': False, 'row_span': 1, 'value': 'Premiers of the North-West Territories[edit]'}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Sir Frederick W. A. G. Haultain (1857–1942) MLA for Macleod'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '7 October 1897 – 1 September 1905'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Title created (3rd Assembly) 1898 election (4th Assembly) 1902 election (5th Assembly)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Liberal-Conservative Party Named leader in 1897'}"
"{'column_span': 3, 'is_header': False, 'row_span': 1, 'value': ''}",,,,,
"{'column_span': 7, 'is_header': False, 'row_span': 1, 'value': 'Premiers of Saskatchewan[edit]'}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '1'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Thomas Walter Scott (1867–1938) MLA for Lumsden (until 1908) MLA for Swift Current (from 1908)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '12 September 1905 – 20 October 1916'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Title created (no assembly) 1905 election (1st Assembly) 1908 election (2nd Assembly) 1912 election (3rd Assembly)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Saskatchewan Liberal Party Named leader in 1905'}"
"{'column_span': 3, 'is_header': False, 'row_span': 1, 'value': ''}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '2'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'William Melville Martin (1876–1970) MLA for Regina City (until 1921) MLA for Regina City #1 (from 1921)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '20 October 1916 – 5 April 1922'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Appointment (3rd Assembly) 1917 election (4th Assembly) 1921 election (5th Assembly)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Saskatchewan Liberal Party Named leader in 1916'}"
"{'column_span': 3, 'is_header': False, 'row_span': 1, 'value': 'Until 20 October 1917 was the only premier to not be the President of the Executive Council (he was the Minister of Education and J.'}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '3'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'Charles Avery Dunning (1885–1958) MLA for Moose Jaw County'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '5 April 1922 – 26 February 1926'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Appointment (5th Assembly) 1925 election (6th Assembly)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Saskatchewan Liberal Party Named leader in 1922'}"
"{'column_span': 3, 'is_header': False, 'row_span': 1, 'value': ''}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '4 (1 of 2)'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': ""James G. Gardiner (1883–1962) MLA for North Qu'Appelle""}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '26 February 1926 – 9 September 1929'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Appointment (6th Assembly) 1929 election (7th Assembly)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Saskatchewan Liberal Party Named leader in 1926'}"
"{'column_span': 3, 'is_header': False, 'row_span': 1, 'value': ''}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '5'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'James Thomas Milton Anderson (1878–1946) MLA for Saskatoon City #1'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '9 September 1929 – 19 July 1934'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Appointment (7th Assembly)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Conservative Party of Saskatchewan Named leader in 1924'}"
"{'column_span': 3, 'is_header': False, 'row_span': 1, 'value': ''}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '4 (2 of 2)'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'James Garfield Gardiner (1883–1962) MLA for Melville'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '19 July 1934 – 1 November 1935'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1934 election (8th Assembly)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Saskatchewan Liberal Party Named leader in 1926'}"
"{'column_span': 3, 'is_header': False, 'row_span': 1, 'value': ''}",,,,,
"{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '6'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': '-'}","{'column_span': 1, 'is_header': False, 'row_span': 2, 'value': 'William John Patterson (1886–1976) MLA for Cannington'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': '1 November 1935 – 10 July 1944'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Appointment (8th Assembly) 1938 election (9th Assembly)'}","{'column_span': 1, 'is_header': False, 'row_span': 1, 'value': 'Saskatchewan Liberal Party Named leader in 1935'}"
"{'column_span': 3, 'is_header': False, 'row_span': 1, 'value': 'First Premier born in Saskatchewan.'}",,,,,
